route,action_type,action_name,status,overlay_present,endpoint_evidence,classification,side_effect,before_state,after_state,error
/home,query,,CLICKED,False,,DOCUMENTED_UNVERIFIED,none observed; safe read interaction only,"""authenticated page""","""page/overlay observed; Escape used to close overlays""",
/home,reset,,CLICKED,False,GET /admin/agency/reports/bi/basic,ACTIVE,none observed; safe read interaction only,"""authenticated page""","""page/overlay observed; Escape used to close overlays""",
/home,tab,Home,CLICKED,False,,DOCUMENTED_UNVERIFIED,none observed; safe read interaction only,"""authenticated page""","""page/overlay observed; Escape used to close overlays""",
/home,chart_mode,Line Chart Mode,CLICKED,False,,DOCUMENTED_UNVERIFIED,none observed; local chart presentation only,"{""line"": {""text"": ""Line Chart Mode"", ""class_name"": ""ant-btn css-jcwvac ant-btn-default ant-btn-color-default ant-btn-variant-outlined"", ""aria_pressed"": """", ""aria_selected"": """", ""disabled"": false, ""parent_class"": ""ant-btn-group css-jcwvac"", ""chart_nodes"": 2}, ""bar"": {""text"": ""Bar Chart Mode"", ""class_name"": ""ant-btn css-jcwvac ant-btn-primary ant-btn-color-primary ant-btn-variant-solid"", ""aria_pressed"": """", ""aria_selected"": """", ""disabled"": false, ""parent_class"": ""ant-btn-group css-jcwvac"", ""chart_nodes"": 2}}","{""line"": {""text"": ""Line Chart Mode"", ""class_name"": ""ant-btn css-jcwvac ant-btn-primary ant-btn-color-primary ant-btn-variant-solid"", ""aria_pressed"": """", ""aria_selected"": """", ""disabled"": false, ""parent_class"": ""ant-btn-group css-jcwvac"", ""chart_nodes"": 2}, ""bar"": {""text"": ""Bar Chart Mode"", ""class_name"": ""ant-btn css-jcwvac ant-btn-default ant-btn-color-default ant-btn-variant-outlined"", ""aria_pressed"": """", ""aria_selected"": """", ""disabled"": false, ""parent_class"": ""ant-btn-group css-jcwvac"", ""chart_nodes"": 2}}",
/home,chart_mode,Bar Chart Mode,CLICKED,False,,DOCUMENTED_UNVERIFIED,none observed; local chart presentation only,"{""line"": {""text"": ""Line Chart Mode"", ""class_name"": ""ant-btn css-jcwvac ant-btn-primary ant-btn-color-primary ant-btn-variant-solid"", ""aria_pressed"": """", ""aria_selected"": """", ""disabled"": false, ""parent_class"": ""ant-btn-group css-jcwvac"", ""chart_nodes"": 2}, ""bar"": {""text"": ""Bar Chart Mode"", ""class_name"": ""ant-btn css-jcwvac ant-btn-default ant-btn-color-default ant-btn-variant-outlined"", ""aria_pressed"": """", ""aria_selected"": """", ""disabled"": false, ""parent_class"": ""ant-btn-group css-jcwvac"", ""chart_nodes"": 2}}","{""line"": {""text"": ""Line Chart Mode"", ""class_name"": ""ant-btn css-jcwvac ant-btn-default ant-btn-color-default ant-btn-variant-outlined"", ""aria_pressed"": """", ""aria_selected"": """", ""disabled"": false, ""parent_class"": ""ant-btn-group css-jcwvac"", ""chart_nodes"": 2}, ""bar"": {""text"": ""Bar Chart Mode"", ""class_name"": ""ant-btn css-jcwvac ant-btn-primary ant-btn-color-primary ant-btn-variant-solid"", ""aria_pressed"": """", ""aria_selected"": """", ""disabled"": false, ""parent_class"": ""ant-btn-group css-jcwvac"", ""chart_nodes"": 2}}",
/home,chart_mode_restore,Bar Chart Mode,RESTORED,False,,DOCUMENTED_UNVERIFIED,none observed; local chart presentation only,"{""line"": {""text"": ""Line Chart Mode"", ""class_name"": ""ant-btn css-jcwvac ant-btn-default ant-btn-color-default ant-btn-variant-outlined"", ""aria_pressed"": """", ""aria_selected"": """", ""disabled"": false, ""parent_class"": ""ant-btn-group css-jcwvac"", ""chart_nodes"": 2}, ""bar"": {""text"": ""Bar Chart Mode"", ""class_name"": ""ant-btn css-jcwvac ant-btn-primary ant-btn-color-primary ant-btn-variant-solid"", ""aria_pressed"": """", ""aria_selected"": """", ""disabled"": false, ""parent_class"": ""ant-btn-group css-jcwvac"", ""chart_nodes"": 2}}","{""line"": {""text"": ""Line Chart Mode"", ""class_name"": ""ant-btn css-jcwvac ant-btn-default ant-btn-color-default ant-btn-variant-outlined"", ""aria_pressed"": """", ""aria_selected"": """", ""disabled"": false, ""parent_class"": ""ant-btn-group css-jcwvac"", ""chart_nodes"": 2}, ""bar"": {""text"": ""Bar Chart Mode"", ""class_name"": ""ant-btn css-jcwvac ant-btn-primary ant-btn-color-primary ant-btn-variant-solid"", ""aria_pressed"": """", ""aria_selected"": """", ""disabled"": false, ""parent_class"": ""ant-btn-group css-jcwvac"", ""chart_nodes"": 2}}",
/home,chart_series_legend,On / Closed,BLOCKED_PREREQUISITE,False,,DOCUMENTED_UNVERIFIED,none observed; local chart presentation only,"{""text"": ""On\nClosed"", ""class_name"": ""ant-switch css-jcwvac"", ""aria_pressed"": """", ""aria_selected"": """", ""disabled"": false, ""parent_class"": ""ant-space-item"", ""chart_nodes"": 2}","{""text"": ""On\nClosed"", ""class_name"": ""ant-switch css-jcwvac"", ""aria_pressed"": """", ""aria_selected"": """", ""disabled"": false, ""parent_class"": ""ant-space-item"", ""chart_nodes"": 2}",DOM did not prove this ambiguous combined-label control is a reversible chart series legend; not clicked
/agent/agent-review,query,,CLICKED,False,GET /admin/agency/audit/list,ACTIVE,none observed; safe read interaction only,"""authenticated page""","""page/overlay observed; Escape used to close overlays""",
/agent/agent-review,reset,,CLICKED,False,GET /admin/agency/audit/list,ACTIVE,none observed; safe read interaction only,"""authenticated page""","""page/overlay observed; Escape used to close overlays""",
/agent/agent-review,details,,CLICKED,True,GET /admin/agency/audit/detail,ACTIVE,none observed; safe read interaction only,"""authenticated page""","""page/overlay observed; Escape used to close overlays""",
/agent/agent-review,tab,Agent Review,CLICKED,False,,DOCUMENTED_UNVERIFIED,none observed; safe read interaction only,"""authenticated page""","""page/overlay observed; Escape used to close overlays""",
/agent/agent-review,filter_query,,CLICKED,False,GET /admin/agency/audit/list,ACTIVE,none observed; safe read interaction only,"{""input_empty"": true}","{""input_restored"": true}",
/agent/agent-review,filter_reset,,RESTORED,False,GET /admin/agency/audit/list,ACTIVE,none observed; safe read interaction only,"""authenticated page""","""page/overlay observed; Escape used to close overlays""",
/agent/agent-review,filter_select_options,,OPENED_AND_CLOSED,True,,DOCUMENTED_UNVERIFIED,none observed; safe read interaction only,"""authenticated page""","""page/overlay observed; Escape used to close overlays""",
/agent/agent-list,query,,CLICKED,False,GET /admin/agency/list,ACTIVE,none observed; safe read interaction only,"""authenticated page""","""page/overlay observed; Escape used to close overlays""",
/agent/agent-list,reset,,CLICKED,False,GET /admin/agency/list,ACTIVE,none observed; safe read interaction only,"""authenticated page""","""page/overlay observed; Escape used to close overlays""",
/agent/agent-list,tab,Agent List,CLICKED,False,,DOCUMENTED_UNVERIFIED,none observed; safe read interaction only,"""authenticated page""","""page/overlay observed; Escape used to close overlays""",
/agent/agent-list,filter_query,,CLICKED,False,GET /admin/agency/list,ACTIVE,none observed; safe read interaction only,"{""input_empty"": true}","{""input_restored"": true}",
/agent/agent-list,filter_reset,,RESTORED,False,GET /admin/agency/list,ACTIVE,none observed; safe read interaction only,"""authenticated page""","""page/overlay observed; Escape used to close overlays""",
/agent/agent-list,filter_select_options,,OPENED_AND_CLOSED,True,,DOCUMENTED_UNVERIFIED,none observed; safe read interaction only,"""authenticated page""","""page/overlay observed; Escape used to close overlays""",
/agent/agent-list,filter_select_options,,OPENED_AND_CLOSED,True,,DOCUMENTED_UNVERIFIED,none observed; safe read interaction only,"""authenticated page""","""page/overlay observed; Escape used to close overlays""",
/agent/user-list,query,,CLICKED,False,GET /admin/agency/member/list,ACTIVE,none observed; safe read interaction only,"""authenticated page""","""page/overlay observed; Escape used to close overlays""",
/agent/user-list,reset,,CLICKED,False,GET /admin/agency/member/list,ACTIVE,none observed; safe read interaction only,"""authenticated page""","""page/overlay observed; Escape used to close overlays""",
/agent/user-list,tab,Member List,CLICKED,False,,DOCUMENTED_UNVERIFIED,none observed; safe read interaction only,"""authenticated page""","""page/overlay observed; Escape used to close overlays""",
/agent/user-list,filter_query,,CLICKED,False,GET /admin/agency/member/list,ACTIVE,none observed; safe read interaction only,"{""input_empty"": true}","{""input_restored"": true}",
