route,action_type,action_name,status,before_route,after_route,overlay_opened,download_observed,endpoint_evidence,classification,side_effect,restoration,error
/,query,query,CLICKED,/,/,False,False,GET /agency/profile,ACTIVE,none observed; read/navigation/local UI interaction,Escape/previous-page/original route restoration attempted,
/,reset,reset,CLICKED,/,/,False,False,,DOCUMENTED_UNVERIFIED,none observed; read/navigation/local UI interaction,Escape/previous-page/original route restoration attempted,
/a-member-list,reset,reset,CLICKED,/a-member-list,/a-member-list,False,False,GET /agency/member/list,ACTIVE,none observed; read/navigation/local UI interaction,Escape/previous-page/original route restoration attempted,
/a-member-list,overflow_open,overflow 1,CLICKED,/a-member-list,/a-member-list,True,False,,DOCUMENTED_UNVERIFIED,none observed; read/navigation/local UI interaction,Escape/previous-page/original route restoration attempted,
/betting-record,reset,reset,CLICKED,/betting-record,/betting-record,False,False,POST /agency/record/bet,ACTIVE,none observed; read/navigation/local UI interaction,Escape/previous-page/original route restoration attempted,
/betting-record,filter_open,filter 1,CLICKED,/betting-record,/betting-record,False,False,,DOCUMENTED_UNVERIFIED,none observed; read/navigation/local UI interaction,Escape/previous-page/original route restoration attempted,
/betting-record,filter_open,filter 2,INTERACTION_ERROR,/betting-record,/betting-record,False,False,,DOCUMENTED_UNVERIFIED,none observed; read/navigation/local UI interaction,Escape/previous-page/original route restoration attempted,"locator.click: Timeout 2000ms exceeded. Call log: [2m - waiting for locator('select:visible,[role=combobox]:visible,.an"
/betting-record,filter_open,filter 3,CLICKED,/betting-record,/betting-record,False,False,,DOCUMENTED_UNVERIFIED,none observed; read/navigation/local UI interaction,Escape/previous-page/original route restoration attempted,
/betting-record,filter_open,filter 4,INTERACTION_ERROR,/betting-record,/betting-record,False,False,,DOCUMENTED_UNVERIFIED,none observed; read/navigation/local UI interaction,Escape/previous-page/original route restoration attempted,"locator.click: Timeout 2000ms exceeded. Call log: [2m - waiting for locator('select:visible,[role=combobox]:visible,.an"
/betting-record,filter_open,filter 5,CLICKED,/betting-record,/betting-record,False,False,,DOCUMENTED_UNVERIFIED,none observed; read/navigation/local UI interaction,Escape/previous-page/original route restoration attempted,
/betting-record,filter_open,filter 6,INTERACTION_ERROR,/betting-record,/betting-record,False,False,,DOCUMENTED_UNVERIFIED,none observed; read/navigation/local UI interaction,Escape/previous-page/original route restoration attempted,"locator.click: Timeout 2000ms exceeded. Call log: [2m - waiting for locator('select:visible,[role=combobox]:visible,.an"
/betting-record,overflow_open,overflow 1,CLICKED,/betting-record,/betting-record,True,False,,DOCUMENTED_UNVERIFIED,none observed; read/navigation/local UI interaction,Escape/previous-page/original route restoration attempted,
/commission-report,reset,reset,CLICKED,/commission-report,/commission-report,False,False,GET /agency/commission/report,ACTIVE,none observed; read/navigation/local UI interaction,Escape/previous-page/original route restoration attempted,
/commission-report,filter_open,filter 1,CLICKED,/commission-report,/commission-report,False,False,,DOCUMENTED_UNVERIFIED,none observed; read/navigation/local UI interaction,Escape/previous-page/original route restoration attempted,
/commission-report,filter_open,filter 2,CLICKED,/commission-report,/commission-report,False,False,,DOCUMENTED_UNVERIFIED,none observed; read/navigation/local UI interaction,Escape/previous-page/original route restoration attempted,
/commission-rule,tab,Commission Rate Tier Table,CLICKED,/commission-rule,/commission-rule,False,False,,DOCUMENTED_UNVERIFIED,none observed; read/navigation/local UI interaction,Escape/previous-page/original route restoration attempted,
/commission-rule,tab,PAGCOR Tax Rate,CLICKED,/commission-rule,/commission-rule,False,False,GET /agency/taxrate/list,ACTIVE,none observed; read/navigation/local UI interaction,Escape/previous-page/original route restoration attempted,
/commission-rule,tab,Vendor Rate,CLICKED,/commission-rule,/commission-rule,False,False,GET /agency/vendorrate/list,ACTIVE,none observed; read/navigation/local UI interaction,Escape/previous-page/original route restoration attempted,
/,visible_control_audit,Today 09-03,VISIBLE_NOT_EXECUTED,/,/,False,False,,DOCUMENTED_UNVERIFIED,none; control was not clicked,not applicable,Second and final authenticated context ended; no third login permitted. Visible-control gap retained explicitly.
/,visible_control_audit,Yesterday,VISIBLE_NOT_EXECUTED,/,/,False,False,,DOCUMENTED_UNVERIFIED,none; control was not clicked,not applicable,Second and final authenticated context ended; no third login permitted. Visible-control gap retained explicitly.
