surface,module,method,path,clean_url,flags,p0_candidate,source_file,name
admin,auth,POST,/admin/login,{{admin_url}}/admin/login,,,后台/后台账号管理/后端账号登陆-seven.bru,后端账号登陆-seven
admin,auth,POST,/admin/login/auth,{{admin_url}}/admin/login/auth,,,后台/后台账号管理/后端账号登陆（前置验证）-seven.bru,后端账号登陆（前置验证）-seven
admin,auth,GET,/admin/logout,{{admin_url}}/admin/logout,,,后台/后台账号管理/后台登出-seven.bru,后台登出-seven
admin,auth,POST,/admin/member/retrieve/password,{{admin_url}}/admin/member/retrieve/password,,,后台/后台账号管理/后台会员密码otp重置.bru,后台会员密码otp重置
admin,auth,POST,/admin/member/update/password,{{admin_url}}/admin/member/update/password,,,后台/会员列表/重置会员密码.bru,重置会员密码
admin,auth,GET,/admin/promotion_register,{{admin_url}}/admin/promotion_register?page=1&page_size=15&filter_type=betting,hardcoded_env,,后台/推广管理/注册日活分析.bru,注册日活分析
admin,auth,GET,/admin/sms/auth,{{admin_url}}/admin/sms/auth?code=<redacted>&id=121212,,,后台/短信发送列表/短信验证码查看.bru,短信验证码查看
admin,auth,GET,/admin/sms/conf/list,{{admin_url}}/admin/sms/conf/list,,,后台/短信发送列表/短信配置.bru,短信配置
admin,auth,POST,/admin/sms/conf/sort,{{admin_url}}/admin/sms/conf/sort,,,后台/短信发送列表/短信排序更新.bru,短信排序更新
admin,auth,POST,/admin/sms/conf/state,{{admin_url}}/admin/sms/conf/state,,,后台/短信发送列表/短信状态更新.bru,短信状态更新
admin,auth,GET,/admin/sms/list,{{admin_url}}/admin/sms/list,,,后台/短信发送列表/短信列表-seven.bru,短信列表-seven
admin,auth,POST,/admin/user/update/password,{{admin_url}}/admin/user/update/password,,,后台/后台账号管理/后台员工修改密码.bru,后台员工修改密码
admin,auth,POST,/admin/webauthn/bind/execute,{{admin_url}}/admin/webauthn/bind/execute,,,后台/后台账号管理/webauthn/webauthn绑定-owen.bru,webauthn绑定-owen
admin,auth,POST,/admin/webauthn/bind/option,{{admin_url}}/admin/webauthn/bind/option,,,后台/后台账号管理/webauthn/webauthn绑定配置-owen.bru,webauthn绑定配置-owen
