surface,module,method,path,clean_url,flags,p0_candidate,source_file,name
admin,game,POST,/admin/game/bindvenue,{{admin_url}}/admin/game/bindvenue,,,后台/game管理/游戏管理/+游戏绑定到场馆-owen.bru,+游戏绑定到场馆-owen
admin,game,POST,/admin/game/dicttypetag/insert,{{admin_url}}/admin/game/dicttypetag/insert,,,后台/game管理/游戏管理/+添加 -类型标签--owen.bru,+添加 <类型标签>-owen
admin,game,POST,/admin/game/dicttypetag/list,{{admin_url}}/admin/game/dicttypetag/list,,,后台/game管理/游戏管理/+获取 -类型标签- 列表-owen.bru,+获取 <类型标签> 列表-owen
admin,game,POST,/admin/game/dicttypetag/update/state,{{admin_url}}/admin/game/dicttypetag/update/state,,,后台/game管理/游戏管理/+修改 -类型标签--owen.bru,+修改 <类型标签>-owen
admin,game,POST,/admin/game/dictweighttag/insert,{{admin_url}}/admin/game/dictweighttag/insert,,,后台/game管理/游戏管理/+添加 -权重标签--owen.bru,+添加 <权重标签>-owen
admin,game,POST,/admin/game/dictweighttag/list,{{admin_url}}/admin/game/dictweighttag/list,,,后台/game管理/游戏管理/+获取 -权重标签- 列表-owen.bru,+获取 <权重标签> 列表-owen
admin,game,POST,/admin/game/dictweighttag/update/state,{{admin_url}}/admin/game/dictweighttag/update/state,,,后台/game管理/游戏管理/+修改 -权重标签--owen.bru,+修改 <权重标签>-owen
admin,game,GET,/admin/game/downbox,{{admin_url}}/admin/game/downbox,,,后台/game管理/游戏管理/游戏下拉框-owen.bru,游戏下拉框-owen
admin,game,GET,/admin/game/freespins,{{admin_url}}/admin/game/freespins?provider_names=fc%2Cjili,hardcoded_env,,后台/game管理/免费旋转游戏列表.bru,免费旋转游戏列表
admin,game,POST,/admin/game/gameweighttag/insert,{{admin_url}}/admin/game/gameweighttag/insert,,,后台/game管理/游戏管理/+给游戏添加权重标签-owen.bru,+给游戏添加权重标签-owen
admin,game,POST,/admin/game/import,{{admin_url}}/admin/game/import,,,后台/game管理/游戏管理/游戏导入.bru,游戏导入
admin,game,GET,/admin/game/import/failed/list,{{admin_url}}/admin/game/import/failed/list?page=1&page_size=100,,,后台/game管理/游戏管理/游戏导入失败列表.bru,游戏导入失败列表
admin,game,POST,/admin/game/insert,{{admin_url}}/admin/game/insert,,,后台/game管理/游戏管理/游戏新增.bru,游戏新增
admin,game,POST,/admin/game/list,{{admin_url}}/admin/game/list,,,后台/game管理/游戏管理/游戏列表-owen.bru,游戏列表-owen
admin,game,POST,/admin/game/search,{{admin_url}}/admin/game/search,,,后台/game管理/游戏管理/+游戏列表查询-owen-aliang.bru,+游戏列表查询-owen-aliang
admin,game,POST,/admin/game/search/export,{{admin_url}}/admin/game/search/export,,,后台/game管理/游戏管理/+游戏列表查询-结果导出-owen.bru,+游戏列表查询-结果导出-owen
admin,game,POST,/admin/game/update,{{admin_url}}/admin/game/update,,,后台/game管理/游戏管理/+游戏条目更新-owen.bru,+游戏条目更新-owen
admin,game,POST,/admin/game/update/compliance,{{admin_url}}/admin/game/update/compliance,,,后台/game管理/游戏管理/更新游戏合规状态-light-owen.bru,更新游戏合规状态-light/owen
admin,game,POST,/admin/game/update/state,{{admin_url}}/admin/game/update/state,,,后台/game管理/游戏管理/游戏更新状态.bru,游戏更新状态
admin,game,POST,/admin/game/update/tags,{{admin_url}}/admin/game/update/tags,,,后台/game管理/游戏管理/游戏设置排序标签.bru,游戏设置排序标签
admin,game,POST,/admin/gameclass/insert,{{admin_url}}/admin/gameclass/insert,,,后台/game管理/场馆管理/+添加场馆记录-owen.bru,+添加场馆记录-owen
admin,game,POST,/admin/gameclass/list,{{admin_url}}/admin/gameclass/list,,,后台/game管理/场馆管理/+查询场馆列表-owen.bru,+查询场馆列表-owen
admin,game,POST,/admin/gameclass/member/index,{{admin_url}}/admin/gameclass/member/index,,,后台/game管理/场馆管理/查询缓存-owen.bru,查询缓存-owen
admin,game,POST,/admin/gameclass/update,{{admin_url}}/admin/gameclass/update,,,后台/game管理/场馆管理/+更新场馆记录-owen.bru,+更新场馆记录-owen
admin,game,GET,/admin/platform/gametype,{{admin_url}}/admin/platform/gametype?venue_id=123,,,后台/game管理/厂商管理/获取厂商支持的场馆.bru,获取厂商支持的场馆
admin,game,POST,/admin/platform/insert,{{admin_url}}/admin/platform/insert,,,后台/game管理/厂商管理/+添加厂商记录-owen.bru,+添加厂商记录-owen
admin,game,POST,/admin/platform/list,{{admin_url}}/admin/platform/list,hardcoded_env,,后台/game管理/场馆管理/场馆列表-owen.bru,场馆列表-owen
admin,game,POST,/admin/platform/search,{{admin_url}}/admin/platform/search,,,后台/game管理/厂商管理/+查询厂商列表-owen.bru,+查询厂商列表-owen
admin,game,POST,/admin/platform/update,{{admin_url}}/admin/platform/update,,,后台/game管理/厂商管理/+更新厂商记录-owen.bru,+更新厂商记录-owen
admin,game,POST,/admin/platform/update/state,{{admin_url}}/admin/platform/update/state,,,后台/game管理/场馆管理/场馆更新状态-owen.bru,场馆更新状态-owen
admin,game,POST,/admin/promo/bonus/game/insert,{{admin_url}}/admin/promo/bonus/game/insert,,,后台/活动/游戏插入 - felix.bru,游戏插入
admin,game,POST,/admin/promo/bti/world/cup/bti/syn,{{admin_url}}/admin/promo/bti/world/cup/bti/syn,,,后台/game管理/freebet活动管理/freebet活动管理-同步状态.bru,freebet活动管理-同步状态
admin,game,POST,/admin/promo/bti/world/cup/cancel,{{admin_url}}/admin/promo/bti/world/cup/cancel,,,后台/game管理/freebet活动管理/freebet活动管理-取消免费投注.bru,freebet活动管理-取消免费投注
admin,game,GET,/admin/promo/bti/world/cup/list,{{admin_url}}/admin/promo/bti/world/cup/list,,,后台/game管理/freebet活动管理/freebet活动管理-重新发放.bru,freebet活动管理-重新发放
admin,game,GET,/admin/promo/bti/world/cup/list,{{admin_url}}/admin/promo/bti/world/cup/list,,,后台/game管理/freebet活动管理/freebet活动管理列表.bru,freebet活动管理列表
admin,game,GET,/admin/promo/bti/world/cup/list,{{admin_url}}/admin/promo/bti/world/cup/list,,,后台/game管理/freebet活动管理/freebet活动管理列表导出.bru,freebet活动管理列表导出
admin,game,GET,/admin/reports/game,{{admin_url}}/admin/reports/game?page=1&page_size=10,,,后台/报表/游戏报表/游戏报表.bru,游戏报表
admin,game,POST,/admin/reports/game/adjust,{{admin_url}}/admin/reports/game/adjust,,,后台/报表/游戏报表校准.bru,游戏报表校准
admin,game,GET,/admin/reports/game/export,{{admin_url}}/admin/reports/game/export?topic_id=1234,,,后台/报表/游戏报表/游戏报表导出.bru,游戏报表导出
admin,game,GET,/admin/reports/game/node,{{admin_url}}/admin/reports/game/node?page=1&page_size=10&start_time=1753977600000&end_time=1754409600000&venue_name=pg&game_class=1&gname=super+ace&node=1,,,后台/报表/游戏报表/游戏线路报表.bru,游戏线路报表
admin,game,GET,/admin/reports/game/node/export,{{admin_url}}/admin/reports/game/node/export?topic_id=1234&node=1,,,后台/报表/游戏报表/游戏线路报表导出.bru,游戏线路报表导出
admin,game,GET,/admin/reports/gameclass,{{admin_url}}/admin/reports/gameclass?page=1&page_size=10&start_time=1753977600000&end_time=1754409600000&game_class=1&venue_name=pg,,,后台/报表/游戏类型报表/游戏类型报表.bru,游戏类型报表
admin,game,GET,/admin/reports/gameclass/export,{{admin_url}}/admin/reports/gameclass/export?topic_id=1234,,,后台/报表/游戏类型报表/游戏类型报表导出.bru,游戏类型报表导出
admin,game,GET,/admin/reports/gameclass/node,{{admin_url}}/admin/reports/gameclass/node?page=1&page_size=10&start_time=1753977600000&end_time=1754409600000&game_class=1&venue_name=pg&node=1,,,后台/报表/游戏类型报表/游戏类型线路报表.bru,游戏类型线路报表
admin,game,GET,/admin/reports/gameclass/node/export,{{admin_url}}/admin/reports/gameclass/node/export?topic_id=1234,,,后台/报表/游戏类型报表/游戏类型线路报表导出.bru,游戏类型线路报表导出
