surface,module,method,path,clean_url,flags,p0_candidate,source_file,name
admin,other,GET,,,invalid_url,,合规/获取品牌列表.bru,获取品牌列表
admin,other,GET,,,invalid_url,,后台/礼金/礼金弹窗 - felix.bru.bru,礼金弹窗 - felix.bru
admin,other,POST,,,invalid_url,,后台/会员列表/封禁会员-sunny.bru,封禁会员-sunny
admin,other,GET,/admin/ad/material/delete,{{admin_url}}/admin/ad/material/delete?id=123,hardcoded_env,,后台/运营管理/客户端管理/素材管理/删除素材.bru,删除素材
admin,other,GET,/admin/ad/material/detail,{{admin_url}}/admin/ad/material/detail?id=123,hardcoded_env,,后台/运营管理/客户端管理/素材管理/素材详情.bru,素材详情
admin,other,POST,/admin/ad/material/insert,{{admin_url}}/admin/ad/material/insert,hardcoded_env,,后台/运营管理/客户端管理/素材管理/新增素材.bru,新增素材
admin,other,POST,/admin/ad/material/list,{{admin_url}}/admin/ad/material/list,hardcoded_env,,后台/运营管理/客户端管理/素材管理/素材列表.bru,素材列表
admin,other,GET,/admin/ad/material/platform/menu,{{admin_url}}/admin/ad/material/platform/menu,hardcoded_env,,后台/运营管理/客户端管理/素材管理/素材管理支持的平台枚举.bru,素材管理支持的平台枚举
admin,other,GET,/admin/ad/material/type/delete,{{admin_url}}/admin/ad/material/type/delete?id=123,hardcoded_env,,后台/运营管理/客户端管理/素材管理/删除素材类型.bru,删除素材类型
admin,other,POST,/admin/ad/material/type/insert,{{admin_url}}/admin/ad/material/type/insert,hardcoded_env,,后台/运营管理/客户端管理/素材管理/新增素材种类.bru,新增素材种类
admin,other,GET,/admin/ad/material/type/list,{{admin_url}}/admin/ad/material/type/list,hardcoded_env,,后台/运营管理/客户端管理/素材管理/素材种类列表.bru,素材种类列表
admin,other,POST,/admin/ad/material/type/update,{{admin_url}}/admin/ad/material/type/update,hardcoded_env,,后台/运营管理/客户端管理/素材管理/编辑素材种类.bru,编辑素材种类
admin,other,POST,/admin/ad/material/type/update/state,{{admin_url}}/admin/ad/material/type/update/state,hardcoded_env,,后台/运营管理/客户端管理/素材管理/更新素材种类状态.bru,更新素材种类状态
admin,other,POST,/admin/ad/material/update,{{admin_url}}/admin/ad/material/update,hardcoded_env,,后台/运营管理/客户端管理/素材管理/编辑素材.bru,编辑素材
admin,other,POST,/admin/ad/material/update/state,{{admin_url}}/admin/ad/material/update/state,hardcoded_env,,后台/运营管理/客户端管理/素材管理/更新素材状态或排序.bru,更新素材状态或排序
admin,other,POST,/admin/agency/audit/agree,{{admin_url}}/admin/agency/audit/agree,,,代理管理后台/代理管理/代理审核/代理审核同意-wesley.bru,代理审核同意-wesley
admin,other,POST,/admin/agency/audit/reject,{{admin_url}}/admin/agency/audit/reject,,,代理管理后台/代理管理/代理审核/代理审核拒绝-wesley.bru,代理审核拒绝-wesley
admin,other,GET,/admin/banner/delete,{{admin_url}}/admin/banner/delete?id=1,hardcoded_env,,后台/轮播图-首页弹窗/轮播图删除.bru,轮播图删除
admin,other,POST,/admin/banner/insert,{{admin_url}}/admin/banner/insert,hardcoded_env,,后台/轮播图-首页弹窗/新增轮播图.bru,新增轮播图
admin,other,POST,/admin/banner/list,{{admin_url}}/admin/banner/list,hardcoded_env,,后台/轮播图-首页弹窗/轮播图列表.bru,轮播图列表
admin,other,GET,/admin/banner/menu,{{admin_url}}/admin/banner/menu,hardcoded_env,,后台/轮播图-首页弹窗/轮播图菜单.bru,轮播图菜单
admin,other,POST,/admin/banner/update,{{admin_url}}/admin/banner/update,hardcoded_env,,后台/轮播图-首页弹窗/轮播图修改.bru,轮播图修改
admin,other,POST,/admin/banner/update/state,{{admin_url}}/admin/banner/update/state,hardcoded_env,,后台/轮播图-首页弹窗/轮播图更新状态.bru,轮播图更新状态
admin,other,GET,/admin/banner/user/count,{{admin_url}}/admin/banner/user/count,"todo,hardcoded_env",,后台/轮播图-首页弹窗/名单数量-todo.bru,名单数量-todo
admin,other,GET,/admin/banner/user/list,{{admin_url}}/admin/banner/user/list,"todo,hardcoded_env",,后台/轮播图-首页弹窗/查看名单-todo.bru,查看名单-todo
admin,other,GET,/admin/bonus/export,{{admin_url}}/admin/bonus/export?uid=<redacted>&ids=&state=&activity_name=&received_start_at=&received_end_at=&created_start_at=&created_end_at=&review_start_at=&review_end_at=&min_amount=&max_amount=&created_name=&review_name=&page=&page_size=&topic_id=11,,,后台/VIP/导出礼金列表 - felix.bru,导出礼金列表 - felix
admin,other,GET,/admin/bonus/list,{{admin_url}}/admin/bonus/list?uid=<redacted>&ids=&state=&activity_id=&received_start_at=&received_end_at=&created_start_at=&created_end_at=&review_start_at=&review_end_at=&min_amount=&max_amount=&created_name=&review_name=&page=&page_size=&remark=,,,后台/VIP/礼金列表 - felix.bru,礼金列表 - felix
admin,other,POST,/admin/bonus/review/approve,{{admin_url}}/admin/bonus/review/approve,,,后台/礼金/批量审批 - felix.bru,批量审批 - felix.bru
