surface,module,method,path,clean_url,flags,p0_candidate,source_file,name
admin,promo,GET,/admin/bonus/activity/list,{{admin_url}}/admin/bonus/activity/list,,,后台/礼金/活动列表 - felix.bru,活动列表 - felix.bru
admin,promo,POST,/admin/bonus/manual/send,{{admin_url}}/admin/bonus/manual/send,,,后台/活动/手动发放礼金 - felix.bru,手动发放礼金
admin,promo,GET,/admin/channel/promoData/consumption,{{admin_url}}/admin/channel/promoData/consumption,todo,,后台/运营管理/推广管理/推广数据/推广数据面板消耗详情-todo.bru,推广数据面板消耗详情-todo
admin,promo,GET,/admin/channel/promoData/detail,{{admin_url}}/admin/channel/promoData/detail,todo,,后台/运营管理/推广管理/推广数据/推广数据详细-todo.bru,推广数据详细-todo
admin,promo,GET,/admin/channel/promoData/list,{{admin_url}}/admin/channel/promoData/list,todo,,后台/运营管理/推广管理/推广数据/推广数据列表-todo.bru,推广数据列表-todo
admin,promo,GET,/admin/channel/promoData/logs,{{admin_url}}/admin/channel/promoData/logs,todo,,后台/运营管理/推广管理/推广数据/推广数据日志-todo.bru,推广数据日志-todo
admin,promo,POST,/admin/channel/promoData/update,{{admin_url}}/admin/channel/promoData/update,todo,,后台/运营管理/推广管理/推广数据/更新推广数据-todo.bru,更新推广数据-todo
admin,promo,POST,/admin/channel/promoData/update/consumption,{{admin_url}}/admin/channel/promoData/update/consumption,todo,,后台/运营管理/推广管理/推广数据/更新推广数据面板消耗-todo.bru,更新推广数据面板消耗-todo
admin,promo,POST,/admin/channel/promotion/domain/insert,{{admin_url}}/admin/channel/promotion/domain/insert,,,后台/渠道推广-域名管理/新增.bru,新增
admin,promo,GET,/admin/channel/promotion/domain/list,{{admin_url}}/admin/channel/promotion/domain/list,,,后台/渠道推广-域名管理/列表.bru,列表
admin,promo,POST,/admin/channel/promotion/domain/update,{{admin_url}}/admin/channel/promotion/domain/update,,,后台/渠道推广-域名管理/修改.bru,修改
admin,promo,GET,/admin/promo/bonus/export,{{admin_url}}/admin/promo/bonus/export?min_amount=&max_amount=&uid=<redacted>&created_start_at=&created_end_at=&day=&state=&phone=<redacted>&activity_id=&username=&received_start_at=&received_end_at=&review_start_at=&review_end_at=&username=&topic_id=ddddddddddddd2,,,后台/活动/导出礼金明细 - felix.bru,导出礼金明细 - felix
admin,promo,GET,/admin/promo/bonus/list,{{admin_url}}/admin/promo/bonus/list?min_amount=&max_amount=&uid=<redacted>&created_start_at=&created_end_at=&day=&state=&page=&page_size=&phone=<redacted>&activity_id=&username=&received_start_at=&received_end_at=&review_start_at=&review_end_at=&username=,,,后台/活动/礼金明细 - felix.bru,礼金明细 - felix
admin,promo,GET,/admin/promo/cq9/bonus/export,{{admin_url}}/admin/promo/cq9/bonus/export?min_amount=&max_amount=&uid=<redacted>&created_start_at=&created_end_at=&day=&state=&phone=<redacted>&activity_id=&username=&received_start_at=&received_end_at=&review_start_at=&review_end_at=&username=&topic_id=ddddddddddddd2,,,后台/活动/cq9返水/导出礼金明细-seven.bru,导出礼金明细-seven
admin,promo,GET,/admin/promo/cq9/bonus/list,{{admin_url}}/admin/promo/cq9/bonus/list?min_amount=&max_amount=&uid=<redacted>&created_start_at=&created_end_at=&day=&state=&page=&page_size=&phone=<redacted>&activity_id=&username=&received_start_at=&received_end_at=&review_start_at=&review_end_at=&username=,,,后台/活动/cq9返水/礼金明细-seven.bru,礼金明细-seven
admin,promo,GET,/admin/promo/export,{{admin_url}}/admin/promo/export?start_at=&end_at=&state=&activity_name=&topic_id=23333332&activity_id=1%2C2&update_name=%E5%9C%B0%E6%96%B9,,,后台/活动/导出活动列表 - felix.bru,导出活动列表 - felix
