surface,module,method,path,clean_url,flags,p0_candidate,source_file,name
agency,auth,POST,/agency/pwd/login,{{agency_url}}/agency/pwd/login,"hardcoded_env,odd_relative_url",,代理后台/登陆/密码登陆-wesley.bru,密码登陆-wesley
agency,auth,POST,/member/auth/sms,{{agency_url}}/member/auth/sms,,,代理后台/登陆/短信验证码前置检查-wesley.bru,短信验证码前置检查-wesley
agency,finance,POST,/admin/agency/commission/audit/adjust,{{agency_url}}/admin/agency/commission/audit/adjust,,,代理管理后台/财务管理/佣金审核/佣金校准 - wesley.bru,佣金校准 - wesley
agency,finance,POST,/admin/agency/commission/audit/agree,{{agency_url}}/admin/agency/commission/audit/agree,,,代理管理后台/财务管理/佣金审核/佣金审核通过 - wesley.bru,佣金审核通过 - wesley
agency,finance,POST,/admin/agency/commission/audit/batch/agree,{{agency_url}}/admin/agency/commission/audit/batch/agree,,,代理管理后台/财务管理/佣金审核/批量通过.bru,批量通过
agency,finance,POST,/admin/agency/commission/audit/batch/reject,{{agency_url}}/admin/agency/commission/audit/batch/reject,,,代理管理后台/财务管理/佣金审核/批量拒绝.bru,批量拒绝
agency,finance,GET,/admin/agency/commission/audit/list,{{agency_url}}/admin/agency/commission/audit/list?status=1,,,代理管理后台/财务管理/佣金审核/佣金审核列表 - wesley.bru,佣金审核列表 - wesley
agency,finance,POST,/admin/agency/commission/audit/reject,{{agency_url}}/admin/agency/commission/audit/reject,,,代理管理后台/财务管理/佣金审核/佣金审核拒绝 - wesley.bru,佣金审核拒绝 - wesley
agency,finance,GET,/admin/agency/commission/report,{{agency_url}}/admin/agency/commission/report?page=1&page_size=10&state=1,,,代理管理后台/财务管理/佣金报表/佣金报表.bru,佣金报表
agency,finance,GET,/admin/agency/commission/report/export,{{agency_url}}/admin/agency/commission/report/export?start_time=1754133776000&end_time=1759404176000,,,代理管理后台/财务管理/佣金报表/佣金报表导出.bru,佣金报表导出
agency,finance,POST,/agency/finance/transaction/list,{{agency_url}}/agency/finance/transaction/list?cash_type=2001&page=1&page_size=5,hardcoded_env,yes,代理管理后台/财务管理/财务报表/账变列表- wesley.bru,账变列表- wesley
agency,member,GET,/admin/agency/member/list,{{agency_url}}/admin/agency/member/list?page=1&page_size=10&start_time=1753977600000&end_time=1756656000000&parent_name=adfa&parent_phone=<redacted>,hardcoded_env,,代理管理后台/代理管理/会员列表/会员列表-wesley.bru,会员列表-wesley
agency,member,POST,/admin/agency/member/tags/update,{{agency_url}}/admin/agency/member/tags/update,,,代理管理后台/代理管理/代理列表/会员备注.bru,会员备注
agency,member,GET,/agency/member/list,{{agency_url}}/agency/member/list?page=1&page_size=10&start_time=1753977600000&end_time=1756656000000,"old_or_copy,hardcoded_env",,代理后台/会员列表/会员列表 copy.bru,会员列表 copy
agency,member,GET,/agency/member/list,{{agency_url}}/agency/member/list?page=1&page_size=10&start_time=1753977600000&end_time=1756656000000,hardcoded_env,,代理后台/会员列表/会员列表.bru,会员列表
agency,other,GET,/admin/agency/audit/detail,{{agency_url}}/admin/agency/audit/detail?uid=<redacted>,,,代理管理后台/代理管理/代理审核/代理资料.bru,代理资料
agency,other,GET,/admin/agency/audit/list,{{agency_url}}/admin/agency/audit/list?page=1&page_size=10&start_time=1759766400000&end_time=1759852799999&username=filbet_p1cvKH12,,,代理管理后台/代理管理/代理审核/代理审核列表 - wesley.bru,代理审核列表 - wesley
agency,other,GET,/admin/agency/child/active/list,{{agency_url}}/admin/agency/child/active/list?page=1&page_size=10&parent_id=<id>&ty=1&month=202508,,,代理管理后台/活跃会员列表.bru,活跃会员列表
agency,other,GET,/admin/agency/child/ggr,{{agency_url}}/admin/agency/child/ggr?parent_id=1&ty=1&month=202508,hardcoded_env,,代理后台/ggr明细.bru,ggr明细
