surface,module,method,path,clean_url,flags,p0_candidate,source_file,name
client,auth,GET,/agency/logout,{{api_url}}/agency/logout,,,代理后台/登陆/退出登陆-wesley.bru,退出登陆-wesley
client,auth,POST,/agency/otp/login,{{api_url}}/agency/otp/login,,,代理后台/登陆/otp登陆-wesley.bru,otp登陆-wesley
client,auth,POST,/finance/lazadaminiapp/login,{{api_url}}/finance/lazadaminiapp/login,,yes,前台/lazada mini/登陆-owen.bru,登陆-owen
client,auth,POST,/member/auth/mail,{{api_url}}/member/auth/mail,,yes,前台/会员信息/邮箱验证码验证-ducky.bru,邮箱验证码验证-ducky
client,auth,POST,/member/auth/password,{{api_url}}/member/auth/password,old_or_copy,yes,前台/会员登陆注册验证/旧密码前置验证-seven.bru,旧密码前置验证-seven
client,auth,POST,/member/auth/sms,{{api_url}}/member/auth/sms,,yes,前台/会员登陆注册验证/短信验证码前置检查-seven.bru,短信验证码前置检查-seven
client,auth,POST,/member/facebook/login,{{api_url}}/member/facebook/login,,yes,前台/会员登陆注册验证/facebook oauth登录-ducky.bru,facebook oauth登录-ducky
client,auth,POST,/member/fb/login,{{api_url}}/member/fb/login,hardcoded_env,yes,前台/三方登录/注册接口.bru,注册接口
client,auth,POST,/member/google/login,{{api_url}}/member/google/login,,yes,前台/会员登陆注册验证/google oauth登录-ducky.bru,google oauth登录-ducky
client,auth,POST,/member/login,{{api_url}}/member/login,,yes,前台/会员登陆注册验证/密码登陆-seven.bru,密码登陆-seven
client,auth,GET,/member/logout,{{api_url}}/member/logout,,yes,前台/会员登陆注册验证/退出登陆-seven.bru,退出登陆-seven
client,auth,POST,/member/otp/login,{{api_url}}/member/otp/login,,yes,前台/会员登陆注册验证/otp登陆-seven.bru,otp登陆-seven
client,auth,POST,/member/otp/login/v2,{{api_url}}/member/otp/login/v2,url_v2,yes,前台/会员登陆注册验证/otp登陆V2-seven.bru,otp登陆V2-seven
client,auth,POST,/member/password/update,{{api_url}}/member/password/update,,yes,前台/会员信息/密码修改-seven.bru,密码修改-seven
client,auth,POST,/member/register,{{api_url}}/member/register,hardcoded_env,yes,前台/会员登陆注册验证/注册.bru,注册
client,auth,POST,/member/retrieve/password,{{api_url}}/member/retrieve/password,,yes,前台/会员登陆注册验证/重置密码-seven.bru,重置密码-seven
client,auth,POST,/member/retrieve/passwordbyemail,{{api_url}}/member/retrieve/passwordbyemail,,yes,前台/会员信息/通过邮箱修改密码-ducky.bru,通过邮箱修改密码-ducky
