surface,module,method,path,clean_url,flags,p0_candidate,source_file,name
unknown,finance,GET,/admin/promo/deposit/first/export,/admin/promo/deposit/first/export,,,活动/后台-活动管理/存款活动（一存，2存，3存，多存）/首存阶梯报表导出.bru,首存阶梯报表导出
unknown,finance,GET,/admin/promo/deposit/first/list,/admin/promo/deposit/first/list,,,活动/后台-活动管理/存款活动（一存，2存，3存，多存）/首存阶梯报表.bru,首存阶梯报表
unknown,finance,GET,/admin/promo/deposit/repeatedly/list,/admin/promo/deposit/repeatedly/list,,,活动/后台-活动管理/每日多存阶梯活动/每日多存报表.bru,每日多存报表
unknown,finance,GET,/admin/promo/deposit/restore/export,/admin/promo/deposit/restore/export,,,活动/后台-活动管理/复存阶梯活动/复存报表导出.bru,复存报表导出
unknown,finance,GET,/admin/promo/deposit/restore/list,/admin/promo/deposit/restore/list,,,活动/后台-活动管理/复存阶梯活动/复存报表.bru,复存报表
unknown,finance,POST,/cmpl/game/transaction,/cmpl/game/transaction?from_date=2026-05-04+22:00:00&to_date=2026-05-04+22:10:00&return_rows=1&hash_code=<redacted>&page_number=1&page_size=100&api_id=gotech-prod-001,hardcoded_env,,mx/game-transaction （uat）.bru,game/transaction （uat）
unknown,finance,GET,/promo/blindbox/transaction/bonus,/promo/blindbox/transaction/bonus?type=4005&page=&page_size=&time_flag=15,,,活动/cq9返水/领取记录列表.bru,领取记录列表
unknown,finance,GET,/promo/blindbox/transaction/bonus,/promo/blindbox/transaction/bonus?type=4006&page=&page_size=&time_flag=15,,,活动/tpg 返利/领取记录.bru,领取记录
unknown,finance,GET,/promo/blindbox/transaction/bonus,/promo/blindbox/transaction/bonus?type=4001&page=&page_size=&time_flag=15,,,活动/盲盒/bonus列表 - felix.bru,bonus列表 - felix
unknown,finance,GET,/promo/blindbox/transaction/bonus,/promo/blindbox/transaction/bonus?type=4007&page=&page_size=&time_flag=15,old_or_copy,,活动/老虎机排行榜/公共礼金列表记录.bru,公共礼金列表记录
