file,top_domain,name,method,host,path,suggested_base_var,clean_url,flags,p0_candidate,p0_domain,url
collection.bru,(root),,,,,,,non_request,,,
environments/admin.bru,environments,,,,,,,non_request,,,
environments/agency.bru,environments,,,,,,,non_request,,,
environments/cmpl.bru,environments,,,,,,,non_request,,,
environments/dev.bru,environments,,,,,,,non_request,,,
environments/fat.bru,environments,,,,,,,non_request,,,
environments/local.bru,environments,,,,,,,non_request,,,
environments/member.bru,environments,,,,,,,non_request,,,
mx/folder.bru,mx,mx,,,,,,non_request,,,
mx/game-transaction （fat）.bru,mx,game/transaction （fat）,GET,admin-fat.filbet2025.com,/cmpl/game/transaction,{{admin_url}},{{admin_url}}/cmpl/game/transaction?from_date=2026-05-04 22:00:00&to_date=2026-05-04 22:10:00&return_rows=1&hash_code=zJq83EpC2ZIwQmGVQvrLEPLJ9CfHkE8C&page_number=1&page_size=100&api_id=gotech-stg-001,hardcoded_env,,finance,https://admin-fat.filbet2025.com/cmpl/game/transaction?from_date=2026-05-04 22:00:00&to_date=2026-05-04 22:10:00&return_rows=1&hash_code=zJq83EpC2ZIwQmGVQvrLEPLJ9CfHkE8C&page_number=1&page_size=100&api_id=gotech-stg-001
mx/game-transaction （uat）.bru,mx,game/transaction （uat）,POST,admin-pagcor-uat.filbet.zone,/cmpl/game/transaction,,/cmpl/game/transaction?from_date=2026-05-04 22:00:00&to_date=2026-05-04 22:10:00&return_rows=1&hash_code=E6mR1n4ilkjjwkagN6MiSsgcoffbnYSt&page_number=1&page_size=100&api_id=gotech-prod-001,hardcoded_env,,finance,https://admin-pagcor-uat.filbet.zone/cmpl/game/transaction?from_date=2026-05-04 22:00:00&to_date=2026-05-04 22:10:00&return_rows=1&hash_code=E6mR1n4ilkjjwkagN6MiSsgcoffbnYSt&page_number=1&page_size=100&api_id=gotech-prod-001
mx/record_api.bru,mx,record_api,POST,admin-pagcor-uat.filbet.zone,/cmpl/record/api,,/cmpl/record/api,hardcoded_env,,,https://admin-pagcor-uat.filbet.zone/cmpl/record/api
test.bru,(root),test,GET,client-beta.filbet.zone,/member/stmt,{{api_url}},{{api_url}}/member/stmt?brand=h5,hardcoded_env,,,https://client-beta.filbet.zone/member/stmt?brand=h5
代理后台/folder.bru,代理后台,代理后台,,,,,,non_request,,,
