priority,surface,module,domain,execution_policy,method,clean_url,path,suggested_base_var,flags,source_file,name
P0-001,client,member,auth,token_required,GET,{{api_url}}/member/facebook_link,/member/facebook_link,{{api_url}},,前台/会员信息/facebook oauth链接-ducky.bru,facebook oauth链接-ducky
P0-002,client,member,auth,token_required,GET,{{api_url}}/member/google_link,/member/google_link,{{api_url}},,前台/会员信息/google oauth链接-ducky.bru,google oauth链接-ducky
P0-003,client,auth,auth,token_required,GET,{{api_url}}/member/logout,/member/logout,{{api_url}},,前台/会员登陆注册验证/退出登陆-seven.bru,退出登陆-seven
P0-004,client,member,auth,token_required,GET,{{api_url}}/member/refresh/token,/member/refresh/token,{{api_url}},,前台/会员登陆注册验证/刷新token-seven.bru,刷新token-seven
P0-005,admin,finance,auth,manual_review,POST,{{admin_url}}/admin/finance/lazada/send/sms,/admin/finance/lazada/send/sms,{{admin_url}},,后台/财务管理/lazada订单/lazada-重新发货-owen.bru,lazada-重新发货-owen
P0-006,client,auth,auth,manual_review,POST,{{api_url}}/finance/lazadaminiapp/login,/finance/lazadaminiapp/login,{{api_url}},,前台/lazada mini/登陆-owen.bru,登陆-owen
P0-007,client,auth,auth,manual_review,POST,{{api_url}}/member/auth/mail,/member/auth/mail,{{api_url}},,前台/会员信息/邮箱验证码验证-ducky.bru,邮箱验证码验证-ducky
P0-008,client,auth,auth,manual_review,POST,{{api_url}}/member/auth/sms,/member/auth/sms,{{api_url}},,前台/会员登陆注册验证/短信验证码前置检查-seven.bru,短信验证码前置检查-seven
P0-009,client,member,auth,manual_review,POST,{{api_url}}/member/bind/facebook,/member/bind/facebook,{{api_url}},,前台/会员信息/facebook oauth绑定-ducky.bru,facebook oauth绑定-ducky
P0-010,client,member,auth,manual_review,POST,{{api_url}}/member/bind/google,/member/bind/google,{{api_url}},,前台/会员信息/google oauth绑定-ducky.bru,google oauth绑定-ducky
P0-011,client,auth,auth,manual_review,POST,{{api_url}}/member/facebook/login,/member/facebook/login,{{api_url}},,前台/会员登陆注册验证/facebook oauth登录-ducky.bru,facebook oauth登录-ducky
P0-012,client,auth,auth,manual_review,POST,{{api_url}}/member/fb/login,/member/fb/login,{{api_url}},hardcoded_env,前台/三方登录/注册接口.bru,注册接口
P0-013,client,auth,auth,manual_review,POST,{{api_url}}/member/google/login,/member/google/login,{{api_url}},,前台/会员登陆注册验证/google oauth登录-ducky.bru,google oauth登录-ducky
