page_name,route,control_type,control,evidence
Home,/home,inputs,"{""type"": ""input"", ""placeholder"": ""Year/Month/Day"", ""name"": """", ""disabled"": false}",rendered visible DOM
Home,/home,inputs,"{""type"": ""input"", ""placeholder"": ""Year/Month/Day"", ""name"": """", ""disabled"": false}",rendered visible DOM
Home,/home,buttons,"{""text"": """", ""title"": """", ""aria_label"": """", ""disabled"": false}",rendered visible DOM
Home,/home,buttons,"{""text"": ""Search"", ""title"": """", ""aria_label"": """", ""disabled"": false}",rendered visible DOM
Home,/home,buttons,"{""text"": ""Reset"", ""title"": """", ""aria_label"": """", ""disabled"": false}",rendered visible DOM
Home,/home,buttons,"{""text"": ""Line Chart Mode"", ""title"": """", ""aria_label"": """", ""disabled"": false}",rendered visible DOM
Home,/home,buttons,"{""text"": ""Bar Chart Mode"", ""title"": """", ""aria_label"": """", ""disabled"": false}",rendered visible DOM
Home,/home,buttons,"{""text"": ""On\nClosed"", ""title"": """", ""aria_label"": """", ""disabled"": false}",rendered visible DOM
Home,/home,tabs,"{""text"": ""Home"", ""selected"": """"}",rendered visible DOM
Home,/home,tabs,"{""text"": ""Home"", ""selected"": ""true""}",rendered visible DOM
Home,/home,links,"{""text"": ""Home"", ""href"": ""/home""}",rendered visible DOM
Agent Review,/agent/agent-review,inputs,"{""type"": ""text"", ""placeholder"": ""Please enter"", ""name"": """", ""disabled"": false}",rendered visible DOM
Agent Review,/agent/agent-review,inputs,"{""type"": ""input"", ""placeholder"": ""Start Date"", ""name"": """", ""disabled"": false}",rendered visible DOM
Agent Review,/agent/agent-review,inputs,"{""type"": ""input"", ""placeholder"": ""End Date"", ""name"": """", ""disabled"": false}",rendered visible DOM
Agent Review,/agent/agent-review,inputs,"{""type"": ""search"", ""placeholder"": """", ""name"": """", ""disabled"": false}",rendered visible DOM
Agent Review,/agent/agent-review,inputs,"{""type"": ""search"", ""placeholder"": """", ""name"": """", ""disabled"": false}",rendered visible DOM
Agent Review,/agent/agent-review,selects,"{""text"": ""Please select"", ""aria_label"": """"}",rendered visible DOM
Agent Review,/agent/agent-review,selects,"{""text"": """", ""aria_label"": """"}",rendered visible DOM
Agent Review,/agent/agent-review,selects,"{""text"": ""20 / page"", ""aria_label"": ""Page Size""}",rendered visible DOM
Agent Review,/agent/agent-review,selects,"{""text"": """", ""aria_label"": ""Page Size""}",rendered visible DOM
Agent Review,/agent/agent-review,buttons,"{""text"": """", ""title"": """", ""aria_label"": """", ""disabled"": false}",rendered visible DOM
Agent Review,/agent/agent-review,buttons,"{""text"": ""Reset"", ""title"": """", ""aria_label"": """", ""disabled"": false}",rendered visible DOM
Agent Review,/agent/agent-review,buttons,"{""text"": ""Query"", ""title"": """", ""aria_label"": """", ""disabled"": false}",rendered visible DOM
Agent Review,/agent/agent-review,buttons,"{""text"": """", ""title"": """", ""aria_label"": """", ""disabled"": false}",rendered visible DOM
Agent Review,/agent/agent-review,buttons,"{""text"": ""查看"", ""title"": """", ""aria_label"": """", ""disabled"": false}",rendered visible DOM
Agent Review,/agent/agent-review,buttons,"{""text"": ""Approve"", ""title"": """", ""aria_label"": """", ""disabled"": true}",rendered visible DOM
Agent Review,/agent/agent-review,buttons,"{""text"": ""Rejected"", ""title"": """", ""aria_label"": """", ""disabled"": true}",rendered visible DOM
Agent Review,/agent/agent-review,buttons,"{""text"": """", ""title"": """", ""aria_label"": """", ""disabled"": true}",rendered visible DOM
Agent Review,/agent/agent-review,buttons,"{""text"": """", ""title"": """", ""aria_label"": """", ""disabled"": true}",rendered visible DOM
Agent Review,/agent/agent-review,tabs,"{""text"": ""Agent Review"", ""selected"": """"}",rendered visible DOM
Agent Review,/agent/agent-review,tabs,"{""text"": ""Agent Review"", ""selected"": ""true""}",rendered visible DOM
Agent Review,/agent/agent-review,pagination,"{""text"": """", ""title"": """", ""aria_label"": """"}",rendered visible DOM
Agent Review,/agent/agent-review,pagination,"{""text"": ""1"", ""title"": """", ""aria_label"": """"}",rendered visible DOM
Agent Review,/agent/agent-review,pagination,"{""text"": """", ""title"": """", ""aria_label"": """"}",rendered visible DOM
Agent Review,/agent/agent-review,links,"{""text"": ""Home"", ""href"": ""/home""}",rendered visible DOM
Agent Review,/agent/agent-review,links,"{""text"": ""Agent Review"", ""href"": ""/agent/agent-review""}",rendered visible DOM
Agent Review,/agent/agent-review,links,"{""text"": ""Agent List"", ""href"": ""/agent/agent-list""}",rendered visible DOM
Agent Review,/agent/agent-review,links,"{""text"": ""Member List"", ""href"": ""/agent/user-list""}",rendered visible DOM
Agent Review,/agent/agent-review,links,"{""text"": ""Agent Settings"", ""href"": ""/agent/agent-setting""}",rendered visible DOM
Agent Review,/agent/agent-review,links,"{""text"": ""Agent Domain"", ""href"": ""/agent/domain""}",rendered visible DOM
Agent List,/agent/agent-list,inputs,"{""type"": ""text"", ""placeholder"": ""Please enter"", ""name"": """", ""disabled"": false}",rendered visible DOM
Agent List,/agent/agent-list,inputs,"{""type"": ""search"", ""placeholder"": """", ""name"": """", ""disabled"": false}",rendered visible DOM
Agent List,/agent/agent-list,inputs,"{""type"": ""search"", ""placeholder"": """", ""name"": """", ""disabled"": false}",rendered visible DOM
Agent List,/agent/agent-list,inputs,"{""type"": ""input"", ""placeholder"": ""Start Date"", ""name"": """", ""disabled"": false}",rendered visible DOM
Agent List,/agent/agent-list,inputs,"{""type"": ""input"", ""placeholder"": ""End Date"", ""name"": """", ""disabled"": false}",rendered visible DOM
Agent List,/agent/agent-list,inputs,"{""type"": ""search"", ""placeholder"": """", ""name"": """", ""disabled"": false}",rendered visible DOM
Agent List,/agent/agent-list,selects,"{""text"": ""Please select"", ""aria_label"": """"}",rendered visible DOM
Agent List,/agent/agent-list,selects,"{""text"": """", ""aria_label"": """"}",rendered visible DOM
Agent List,/agent/agent-list,selects,"{""text"": ""Please select"", ""aria_label"": """"}",rendered visible DOM
Agent List,/agent/agent-list,selects,"{""text"": """", ""aria_label"": """"}",rendered visible DOM
Agent List,/agent/agent-list,selects,"{""text"": ""20 / page"", ""aria_label"": ""Page Size""}",rendered visible DOM
Agent List,/agent/agent-list,selects,"{""text"": """", ""aria_label"": ""Page Size""}",rendered visible DOM
