method,path,classification,ui_observed,documented_source,note
,,DOCUMENTED_UNVERIFIED,NO,代理管理后台/folder.bru | 代理管理后台/代理域名/folder.bru | 代理管理后台/代理管理/folder.bru | 代理管理后台/代理管理/代理列表/folder.bru | 代理管理后台/代理管理/代理审核/folder.bru | 代理管理后台/代理管理/代理设置/Pagcor税率/folder.bru | 代理管理后台/代理管理/代理设置/folder.bru | 代理管理后台/代理管理/代理设置/代理开关/folder.bru | 代理管理后台/代理管理/代理设置/佣金阶梯/folder.bru | 代理管理后台/代理管理/代理设置/厂商费率/folder.bru | 代理管理后台/代理管理/代理设置/推广素材/folder.bru | 代理管理后台/代理管理/代理设置/活跃会员/folder.bru | 代理管理后台/代理管理/会员列表/folder.bru | 代理管理后台/后台账号管理/folder.bru | 代理管理后台/推广素材/folder.bru | 代理管理后台/系统/folder.bru | 代理管理后台/系统/角色配置/folder.bru | 代理管理后台/财务管理/folder.bru | 代理管理后台/财务管理/佣金审核/folder.bru | 代理管理后台/财务管理/佣金报表/folder.bru | 代理管理后台/财务管理/财务报表/folder.bru | 代理管理后台/首页BI/folder.bru,Not observed from the current role UI; absence is not STALE evidence
GET,/admin/agency/audit/detail,ACTIVE,YES,代理管理后台/代理管理/代理审核/代理资料.bru,
GET,/admin/agency/audit/list,ACTIVE,YES,代理管理后台/代理管理/代理审核/代理审核列表 - wesley.bru,
GET,/admin/agency/child/active/list,DOCUMENTED_UNVERIFIED,NO,代理管理后台/活跃会员列表.bru,Not observed from the current role UI; absence is not STALE evidence
GET,/admin/agency/child/bonus/list,DOCUMENTED_UNVERIFIED,NO,代理管理后台/活动礼金列表.bru,Not observed from the current role UI; absence is not STALE evidence
GET,/admin/agency/child/ggr,DOCUMENTED_UNVERIFIED,NO,代理管理后台/ggr明细.bru,Not observed from the current role UI; absence is not STALE evidence
GET,/admin/agency/child/pagcor/tax,DOCUMENTED_UNVERIFIED,NO,代理管理后台/pagcor税费明细.bru,Not observed from the current role UI; absence is not STALE evidence
GET,/admin/agency/child/venue/fee,DOCUMENTED_UNVERIFIED,NO,代理管理后台/场馆费明细.bru,Not observed from the current role UI; absence is not STALE evidence
GET,/admin/agency/commission/audit/list,ACTIVE,YES,代理管理后台/财务管理/佣金审核/佣金审核列表 - wesley.bru,
GET,/admin/agency/commission/report,ACTIVE,YES,代理管理后台/财务管理/佣金报表/佣金报表.bru,
GET,/admin/agency/commission/report/export,DOCUMENTED_UNVERIFIED,NO,代理管理后台/财务管理/佣金报表/佣金报表导出.bru,Not observed from the current role UI; absence is not STALE evidence
GET,/admin/agency/domain/list,ACTIVE,YES,代理管理后台/代理域名/列表.bru,
GET,/admin/agency/ladder,ACTIVE,YES,代理管理后台/代理管理/代理设置/佣金阶梯/查询佣金阶梯.bru,
GET,/admin/agency/list,ACTIVE,YES,代理管理后台/代理管理/代理列表/代理列表.bru,
GET,/admin/agency/member/list,ACTIVE,YES,代理管理后台/代理管理/会员列表/会员列表-wesley.bru,
GET,/admin/agency/reports/bi/basic,ACTIVE,YES,代理管理后台/首页BI/数据总览.bru,
GET,/admin/agency/reports/bi/chart,ACTIVE,YES,代理管理后台/首页BI/报表图形化数据.bru,
GET,/admin/agency/taxrate/list,ACTIVE,YES,代理管理后台/代理管理/代理设置/Pagcor税率/Pagcor税率列表.bru,
GET,/admin/agency/vendorrate/list,ACTIVE,YES,代理管理后台/代理管理/代理设置/厂商费率/厂商费率列表.bru,
GET,/admin/log/list,DOCUMENTED_UNVERIFIED,NO,代理管理后台/系统/操作日志.bru,Not observed from the current role UI; absence is not STALE evidence
GET,/agency/finance/transaction/types,DOCUMENTED_UNVERIFIED,NO,代理管理后台/财务管理/财务报表/账变类型- wesley.bru,Not observed from the current role UI; absence is not STALE evidence
GET,/agency/priv/list,DOCUMENTED_UNVERIFIED,NO,代理管理后台/系统/角色配置/权限列表.bru,Not observed from the current role UI; absence is not STALE evidence
GET,/backend/agency/detail,DOCUMENTED_UNVERIFIED,NO,代理管理后台/后台账号管理/后台账户详情-seven.bru,Not observed from the current role UI; absence is not STALE evidence
