"order","top_menu","menu_path","page_name","raw_label","route","route_source","anchor_href","permission_match","scan_status","evidence","note"
"1","Home","","Home","Home","/home","sidebar anchor href","/home","","MENU_DISCOVERED","fat-admin-live-menu.json rendered sidebar DOM",""
"2","KYC","","KYC","KYC44","/kyc","sidebar anchor href","/kyc","20000:KYC:/kyc","MENU_DISCOVERED","fat-admin-live-menu.json rendered sidebar DOM",""
"3","Logs","","Logs","Logs","/logs/list","sidebar anchor href","/logs/list","","MENU_DISCOVERED","fat-admin-live-menu.json rendered sidebar DOM",""
"4","Member Management","Member Management","Member","Member","/member-center/list","sidebar anchor href","/member-center/list","10000:会员:/member","MENU_DISCOVERED","fat-admin-live-menu.json rendered sidebar DOM",""
"5","Member Management","Member Management","VIP Config","VIP Config","/member-management/vip-config","sidebar anchor href","/member-management/vip-config","","MENU_DISCOVERED","fat-admin-live-menu.json rendered sidebar DOM",""
"6","Member Management","Member Management","VIP Rewards","VIP Rewards","/member-management/vip-rewards","sidebar anchor href","/member-management/vip-rewards","","MENU_DISCOVERED","fat-admin-live-menu.json rendered sidebar DOM",""
"7","Member Management","Member Management","VIP Check-in Log","VIP Check-in Log","/member-management/vip-checkin-log","sidebar anchor href","/member-management/vip-checkin-log","","MENU_DISCOVERED","fat-admin-live-menu.json rendered sidebar DOM",""
"8","Member Management","Member Management","Inviter Transfer Records","Inviter Transfer Records","/member-management/inviter-transfer-records","sidebar anchor href","/member-management/inviter-transfer-records","","MENU_DISCOVERED","fat-admin-live-menu.json rendered sidebar DOM",""
"9","Agent Management","Agent Management","Agency statistical report","Agency statistical report","/agency-management/agency-statistical","sidebar anchor href","/agency-management/agency-statistical","","MENU_DISCOVERED","fat-admin-live-menu.json rendered sidebar DOM",""
"10","Report Management","Report Management","Game Reports","Game Reports","/report-management/game-reports/list","sidebar anchor href","/report-management/game-reports/list","","MENU_DISCOVERED","fat-admin-live-menu.json rendered sidebar DOM",""
"11","Report Management","Report Management","Game Type Reports","Game Type Reports","/report-management/game-types-report/list","sidebar anchor href","/report-management/game-types-report/list","","MENU_DISCOVERED","fat-admin-live-menu.json rendered sidebar DOM",""
"12","Report Management","Report Management","Game Platform Reports","Game Platform Reports","/report-management/game-platform-report/list","sidebar anchor href","/report-management/game-platform-report/list","","MENU_DISCOVERED","fat-admin-live-menu.json rendered sidebar DOM",""
