surface,top_menu,page_name,page_route,control_type,action_name,method,normalized_path,query_fields,path_fields,body_fields,header_fields,parameter_source,http_status,business_status,response_structure,auth_role,side_effect,before_state,after_state,original_category,original_name,original_source_file,classification,currently_used_by_ui,evidence,anomaly,blocked_scope
admin,TO_MAP,Filbet Admin,/agency-management,page_initialization,open /agency-management,GET,/admin/reports/agency,"end_time,field,page,page_size,sort,start_time",,,"accept,accept-language,client-id,client-version,d,lang,referer,sec-ch-ua,sec-ch-ua-mobile,sec-ch-ua-platform,t,user-agent,x-device-id",Query: route/filter/pagination values emitted by current UI state; Header: browser session/runtime,200,True,"object; keys=a,d,t",FAT admin authenticated browser session; exact permission/role mapping pending,No mutation observed in this discovery action,Not applicable for observed read interaction,Page/network response rendered; business data values not persisted,admin/report,代理统计报表,后台/代理管理/代理统计报表.bru,ACTIVE,YES,fat-admin-full-scan.json network events 51; DOM route/control snapshot,,
admin,TO_MAP,Filbet Admin,/home,button,Search,GET,/admin/reports/bi/basic,report_type,,,"accept,accept-language,client-id,client-version,d,lang,referer,sec-ch-ua,sec-ch-ua-mobile,sec-ch-ua-platform,t,user-agent,x-device-id",Query: route/filter/pagination values emitted by current UI state; Header: browser session/runtime,200,True,"object; keys=arppu,arpu,balance,bets_deposit,bets_people,deposit_amount,deposit_people,dw_diff,ebingo_ggr,first_deposit,first_deposit_amount,game_ggr,ggr,injection_rate,login_count,new_deposit,new_deposit_amount,refill_deposit,refill_deposit_amount,reg_count,report_type,sports_ggr,valid_bet_amount,withdraw_amount,withdraw_people,ws_ggr",FAT admin authenticated browser session; exact permission/role mapping pending,No mutation observed in this discovery action,Not applicable for observed read interaction,Page/network response rendered; business data values not persisted,admin/report,首页BI,后台/报表/首页BI.bru,ACTIVE,YES,fat-admin-full-scan.json network events 22; DOM route/control snapshot,,
admin,TO_MAP,Filbet Admin,/home,page_initialization,open /home,POST,/admin/game/search,,,,"accept,accept-language,client-id,client-version,content-type,d,lang,referer,sec-ch-ua,sec-ch-ua-mobile,sec-ch-ua-platform,t,user-agent,x-device-id",Header: browser session/runtime,200,True,"object; keys=ids,list,page,page_size,s,t",FAT admin authenticated browser session; exact permission/role mapping pending,No mutation observed in this discovery action,Not applicable for observed read interaction,Page/network response rendered; business data values not persisted,admin/game,+游戏列表查询-owen-aliang,后台/game管理/游戏管理/+游戏列表查询-owen-aliang.bru,ACTIVE,YES,"fat-admin-full-scan.json network events 17,18,19,20,21; DOM route/control snapshot",,
admin,TO_MAP,Filbet Admin,/kyc,tab,"Bonus Order Count
Approved Today (0)
Pending Review (0)",POST,/admin/kyc/list,,,,"accept,accept-language,client-id,client-version,content-type,d,lang,referer,sec-ch-ua,sec-ch-ua-mobile,sec-ch-ua-platform,t,user-agent,x-device-id",Header: browser session/runtime,200,True,"object; keys=d,s,t",FAT admin authenticated browser session; exact permission/role mapping pending,No mutation observed in this discovery action,Not applicable for observed read interaction,Page/network response rendered; business data values not persisted,admin/kyc,获取 kyc 列表 - double/owen,后台/kyc/获取 kyc 列表 - double-owen.bru,ACTIVE,YES,fat-admin-full-scan.json network events 26; DOM route/control snapshot,,
admin,TO_MAP,Filbet Admin,/kyc,page_initialization,open /kyc,GET,/admin/kyc/approved/count,,,,"accept,accept-language,client-id,client-version,d,lang,referer,sec-ch-ua,sec-ch-ua-mobile,sec-ch-ua-platform,t,user-agent,x-device-id",Header: browser session/runtime,200,True,"object; keys=kyc_approved,kyc_under_review",FAT admin authenticated browser session; exact permission/role mapping pending,No mutation observed in this discovery action,Not applicable for observed read interaction,Page/network response rendered; business data values not persisted,admin/kyc,统计每天审核通过数量,后台/kyc/统计每天审核通过数量.bru,ACTIVE,YES,fat-admin-full-scan.json network events 24; DOM route/control snapshot,,
admin,TO_MAP,Filbet Admin,/kyc,page_initialization,open /kyc,GET,/admin/notify/audit/alarm,t,,,"accept,accept-language,client-id,client-version,d,lang,referer,sec-ch-ua,sec-ch-ua-mobile,sec-ch-ua-platform,t,user-agent,x-device-id",Query: route/filter/pagination values emitted by current UI state; Header: browser session/runtime,200,True,"object; keys=bonus_review_pending,feedback_pending,kyc_pending,mall_order_pending,withdraw_pending",FAT admin authenticated browser session; exact permission/role mapping pending,No mutation observed in this discovery action,Not applicable for observed read interaction,Page/network response rendered; business data values not persisted,admin/other,获取系统通知数量-wesley/owen,后台/系统管理/通知中心/获取系统通知数量-wesley-owen.bru,ACTIVE,YES,fat-admin-full-scan.json network events 23; DOM route/control snapshot,,
admin,TO_MAP,Filbet Admin,/kyc,page_initialization,open /kyc,POST,/admin/kyc/list,,,,"accept,accept-language,client-id,client-version,content-type,d,lang,referer,sec-ch-ua,sec-ch-ua-mobile,sec-ch-ua-platform,t,user-agent,x-device-id",Header: browser session/runtime,200,True,"object; keys=d,s,t",FAT admin authenticated browser session; exact permission/role mapping pending,No mutation observed in this discovery action,Not applicable for observed read interaction,Page/network response rendered; business data values not persisted,admin/kyc,获取 kyc 列表 - double/owen,后台/kyc/获取 kyc 列表 - double-owen.bru,ACTIVE,YES,fat-admin-full-scan.json network events 25; DOM route/control snapshot,,
admin,会员,Filbet Admin,/member-management,page_initialization,open /member-management,GET,/admin/channel/manage/dict,,,,"accept,accept-language,client-id,client-version,d,lang,referer,sec-ch-ua,sec-ch-ua-mobile,sec-ch-ua-platform,t,user-agent,x-device-id",Header: browser session/runtime,200,True,list,FAT admin authenticated browser session; exact permission/role mapping pending,No mutation observed in this discovery action,Not applicable for observed read interaction,Page/network response rendered; business data values not persisted,admin/other,渠道管理字典-todo,后台/运营管理/推广管理/渠道管理/渠道管理字典-todo.bru,ACTIVE,YES,"fat-admin-full-scan.json network events 27,35; DOM route/control snapshot",,
admin,会员,Filbet Admin,/member-management,page_initialization,open /member-management,GET,/admin/me/detail,,,,"accept,accept-language,client-id,client-version,d,lang,referer,sec-ch-ua,sec-ch-ua-mobile,sec-ch-ua-platform,t,user-agent,x-device-id",Header: browser session/runtime,200,True,"object; keys=avatar,bind_time,button_permission_ids,cmpl,create_name,created_at,email,google_secret,group_id,id,last_login_ip,last_login_time,login_password,nickname,operator_name,pwd_edit_time,roles,sid,status,stores,updated_at,username",FAT admin authenticated browser session; exact permission/role mapping pending,No mutation observed in this discovery action,Not applicable for observed read interaction,Page/network response rendered; business data values not persisted,admin/other,后台账户详情(当前登陆信息)-seven,后台/后台账号管理/后台账户详情(当前登陆信息)-seven.bru,ACTIVE,YES,fat-admin-full-scan.json network events 29; DOM route/control snapshot,,
admin,会员,Filbet Admin,/member-management,page_initialization,open /member-management,GET,/admin/notify/audit/alarm,t,,,"accept,accept-language,client-id,client-version,d,lang,referer,sec-ch-ua,sec-ch-ua-mobile,sec-ch-ua-platform,t,user-agent,x-device-id",Query: route/filter/pagination values emitted by current UI state; Header: browser session/runtime,200,True,"object; keys=bonus_review_pending,feedback_pending,kyc_pending,mall_order_pending,withdraw_pending",FAT admin authenticated browser session; exact permission/role mapping pending,No mutation observed in this discovery action,Not applicable for observed read interaction,Page/network response rendered; business data values not persisted,admin/other,获取系统通知数量-wesley/owen,后台/系统管理/通知中心/获取系统通知数量-wesley-owen.bru,ACTIVE,YES,fat-admin-full-scan.json network events 32; DOM route/control snapshot,,
