method,path,document_name,document_category,document_source,classification,ui_evidence,reason
GET,/agency/commission/trans/list,佣金账变,client/finance,前台/财务/佣金账变.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/agency/logout,退出登陆-wesley,client/auth,代理后台/登陆/退出登陆-wesley.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/finance/account/delete,提款账号删除-wesley,client/finance,前台/财务/提款账号删除-wesley.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/finance/account/list,提款账户列表-wesley,client/finance,前台/财务/提款账户列表-wesley.bru,ACTIVE,fat-client-network.json action=account__primary_navigation_action; records=1282|fat-client-network.json action=withdraw__page_initialization; records=1099,observed in FAT UI Network
GET,/finance/channel/list,获取支付通道列表-wesley,client/finance,前台/财务/获取支付通道列表-wesley.bru,ACTIVE,fat-client-network.json action=account__primary_navigation_action; records=1283|fat-client-network.json action=deposit__page_initialization; records=1014|fat-client-network.json action=withdraw__page_initialization; records=1098|1100,observed in FAT UI Network
GET,/finance/channel/product/list,获取支付通道商品列表,client/finance,前台/财务/获取支付通道商品列表.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/finance/deposit/detail,充值详情,client/finance,前台/财务/充值详情.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/finance/deposit/list,充值记录-wesley,client/finance,前台/财务/充值记录-wesley.bru,ACTIVE,fat-client-network.json action=transaction__primary_navigation_action; records=1145,observed in FAT UI Network
GET,/finance/member/buyfeatures,购买免费旋转游戏列表,client/finance,前台/财务/购买免费旋转游戏列表.bru,ACTIVE,fat-client-network.json action=withdraw__page_initialization; records=1058|1102,observed in FAT UI Network
GET,/finance/payment/bank/list,银行列表,client/finance,前台/财务/银行列表.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/finance/payment/deposit,充值-wesley/cold,client/finance,前台/财务/充值-wesley-cold.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/finance/payment/tab/list,提现tab,client/finance,前台/财务/提现tab.bru,ACTIVE,fat-client-network.json action=account__primary_navigation_action; records=1284|fat-client-network.json action=withdraw__page_initialization; records=1101,observed in FAT UI Network
GET,/finance/payment/withdraw,提现-wesley/cold,client/finance,前台/财务/提现-wesley-cold.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/finance/transaction/list,获取交易记录- wesley/alex,client/finance,前台/财务/获取交易记录- wesley-alex.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/finance/transaction/types,账变字典,client/finance,前台/财务/账变字典.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/finance/wallet,会员钱包-wesley,client/finance,前台/财务/会员钱包-wesley.bru,ACTIVE,fat-client-network.json action=account__page_initialization; records=1251|1264|fat-client-network.json action=bet_history__page_initialization; records=1158|1180|fat-client-network.json action=bonus__page_initialization; records=1199|1223|fat-client-network.json action=deposit__page_initialization; records=1032|1040|fat-client-network.json action=earn_filcoins__daily_task_go_1; records=518|fat-client-network.json action=earn_filcoins__daily_task_go_2; records=556|fat-client-network.json action=earn_filcoins__daily_task_go_3; records=594|fat-client-network.json action=earn_filcoins__daily_task_go_4; records=632|fat-client-network.json action=earn_filcoins__daily_task_go_5; records=670|fat-client-network.json action=earn_filcoins__daily_task_go_6; records=708|729|fat-client-network.json action=earn_filcoins__daily_task_go_7; records=758|779|fat-client-network.json action=earn_filcoins__daily_task_go_8; records=805|829|fat-client-network.json action=earn_filcoins__daily_task_go_9; records=858|fat-client-network.json action=earn_filcoins__page_initialization; records=481|fat-client-network.json action=filcoins_mall__page_initialization; records=902|fat-client-network.json action=free_spins__page_initialization; records=399|fat-client-network.json action=free_spins__start_first_free_spin_game; records=443|fat-client-network.json action=game__page_initialization; records=936|fat-client-network.json action=home__page_initialization; records=150|170|fat-client-network.json action=home__refresh_balance; records=212|218|231|fat-client-network.json action=login_success__password_login; records=124|fat-client-network.json action=my__page_initialization; records=296|321|fat-client-network.json action=my__refresh_balance; records=331|fat-client-network.json action=rewards__page_initialization; records=360|fat-client-network.json action=sidebar__page_initialization; records=259|264|fat-client-network.json action=transaction__page_initialization; records=1111|1136|fat-client-network.json action=vip__page_initialization; records=978|988|fat-client-network.json action=withdraw__page_initialization; records=1063|1075|1088,observed in FAT UI Network
GET,/finance/withdraw/detail,提现详情,client/finance,前台/财务/提现详情.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/finance/withdraw/list,提现记录-wesley,client/finance,前台/财务/提现记录-wesley.bru,ACTIVE,fat-client-network.json action=transaction__select_withdraw_tab; records=1146,observed in FAT UI Network
GET,/member/agency/audit/results,代理审核结果,client/member,前台/代理/代理审核结果.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/member/agency/problem/list,代理申请问题列表,client/member,前台/代理/代理申请问题列表.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/member/app/version,app最新版本信息获取,client/member,前台/配置/app最新版本信息获取.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/member/avatar/list,会员头像列表-ducky,client/member,前台/会员信息/会员头像列表-ducky.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/member/bigprize/list,爆奖列表,client/member,前台/爆奖信息/爆奖列表.bru,ACTIVE,fat-client-network.json action=earn_filcoins__daily_task_go_6; records=724|fat-client-network.json action=earn_filcoins__daily_task_go_7; records=774|fat-client-network.json action=earn_filcoins__daily_task_go_8; records=824|fat-client-network.json action=home__page_initialization; records=145|fat-client-network.json action=home__refresh_balance; records=207|fat-client-network.json action=home_guest__page_initialization; records=10|fat-client-network.json action=login__page_initialization; records=55|fat-client-network.json action=login_success__password_login; records=105|fat-client-network.json action=register__page_initialization; records=78|fat-client-network.json action=sidebar__page_initialization; records=254|fat-client-network.json action=sidebar_guest__page_initialization; records=26,observed in FAT UI Network
GET,/member/buriedPoint/detail,埋点详情-todo,client/member,前台/埋点/埋点详情-todo.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
