menu,page,page_route,action,control_type,status,final_url,request_count,error_or_blocker,evidence
Home,Home (guest),/,page initialization,page,COMPLETED,https://client-fat.filbet2025.com/,20,,fat-client-page-progress.json action=home_guest__page_initialization
Sidebar,Sidebar (guest),/,page initialization,page,COMPLETED,https://client-fat.filbet2025.com/,18,,fat-client-page-progress.json action=sidebar_guest__page_initialization
Sidebar,Sidebar (guest),/,primary navigation/action,button,COMPLETED,https://client-fat.filbet2025.com/,6,,fat-client-page-progress.json action=sidebar_guest__primary_navigation_action
Authentication,Login,/,page initialization,page,COMPLETED,https://client-fat.filbet2025.com/,20,,fat-client-page-progress.json action=login__page_initialization
Authentication,Login,/,primary navigation/action,button,COMPLETED,https://client-fat.filbet2025.com/?action=login&payload=omRzdGVwbmxvZ2luLXBhc3N3b3JkZGRhdGH3,3,,fat-client-page-progress.json action=login__primary_navigation_action
Authentication,Login,/,switch Password tab,tab,COMPLETED,https://client-fat.filbet2025.com/?action=login&payload=omRzdGVwbmxvZ2luLXBhc3N3b3JkZGRhdGH3,2,,fat-client-page-progress.json action=login__switch_password_tab
Authentication,Login,/,switch SMS OTP tab,tab,COMPLETED,https://client-fat.filbet2025.com/?action=login&payload=omRzdGVwbmxvZ2luLXBhc3N3b3JkZGRhdGH3,0,,fat-client-page-progress.json action=login__switch_sms_otp_tab
Authentication,Login,/,request SMS code,button,FAILED,https://client-fat.filbet2025.com/?action=login&payload=omRzdGVwbmxvZ2luLXBhc3N3b3JkZGRhdGH3,1,"locator.click: Timeout 4000ms exceeded. Call log: [2m - waiting for getByRole('button', { name: /^Get Code$/i }).first()[22m [2m - locator resolved to <button class=""sc-e7uih2-0 djSLFo e1xexaod0 css-17g9al6 e1w0qefm0"">Get Code</button>[22m [2m - attempting click action[22m [2m 2 × waiting for",fat-client-page-progress.json action=login__request_sms_code
Authentication,Register,/,page initialization,page,COMPLETED,https://client-fat.filbet2025.com/,19,,fat-client-page-progress.json action=register__page_initialization
Authentication,Register,/,primary navigation/action,button,COMPLETED,https://client-fat.filbet2025.com/?action=register&payload=omRzdGVwbXJlZ2lzdGVyLWZvcm1kZGF0Yfc%3D,6,,fat-client-page-progress.json action=register__primary_navigation_action
Authentication,Login,/,password login,submit,COMPLETED,https://client-fat.filbet2025.com/,41,,fat-client-page-progress.json action=login_success__password_login
Home,Home,/,page initialization,page,COMPLETED,https://client-fat.filbet2025.com/,48,,fat-client-page-progress.json action=home__page_initialization
Home,Home,/,open Daily Rewards,button,COMPLETED,https://client-fat.filbet2025.com/daily_deposits,1,,fat-client-page-progress.json action=home__open_daily_rewards
Home,Home,/,refresh balance,button,COMPLETED,https://client-fat.filbet2025.com/,46,,fat-client-page-progress.json action=home__refresh_balance
Home,Home,/,favorite first game,button,BLOCKED_DATA_SCOPE,https://client-fat.filbet2025.com/,0,would change existing member favorites; no game record created by this scan,fat-client-page-progress.json action=home__favorite_first_game
Sidebar,Sidebar,/,page initialization,page,COMPLETED,https://client-fat.filbet2025.com/,45,,fat-client-page-progress.json action=sidebar__page_initialization
Sidebar,Sidebar,/,primary navigation/action,button,COMPLETED,https://client-fat.filbet2025.com/,11,,fat-client-page-progress.json action=sidebar__primary_navigation_action
My,My,/my,page initialization,page,COMPLETED,https://client-fat.filbet2025.com/my,43,,fat-client-page-progress.json action=my__page_initialization
My,My,/my,refresh balance,button,COMPLETED,https://client-fat.filbet2025.com/my,1,,fat-client-page-progress.json action=my__refresh_balance
My,My,/my,copy member ID,button,BLOCKED_DATA_SCOPE,https://client-fat.filbet2025.com/my,0,clipboard/member identifier is deliberately not captured in repository evidence,fat-client-page-progress.json action=my__copy_member_id
