case_order,case_id,scenario_id,priority,polarity,surface,module,domain,flow_stage,flow_stage_label,account_lane,case_name,execution_policy,method,clean_url,path,suggested_base_var,assertions,source_file,request_body,notes
001,MENU-10000,ADMIN-SCAN,SCAN,positive,admin,permission,admin,admin_scan,后台页面扫描,admin_account,会员子菜单,safe_smoke,GET,{{admin_url}}/admin/priv/list?pid=10000,/admin/priv/list,{{admin_url}},"status_true,data_list",fat-admin-runtime,,只读权限树
002,MENU-20000,ADMIN-SCAN,SCAN,positive,admin,permission,admin,admin_scan,后台页面扫描,admin_account,KYC子菜单,safe_smoke,GET,{{admin_url}}/admin/priv/list?pid=20000,/admin/priv/list,{{admin_url}},"status_true,data_list",fat-admin-runtime,,只读权限树
003,MENU-30000,ADMIN-SCAN,SCAN,positive,admin,permission,admin,admin_scan,后台页面扫描,admin_account,财务管理子菜单,safe_smoke,GET,{{admin_url}}/admin/priv/list?pid=30000,/admin/priv/list,{{admin_url}},"status_true,data_list",fat-admin-runtime,,只读权限树
004,MENU-40000,ADMIN-SCAN,SCAN,positive,admin,permission,admin,admin_scan,后台页面扫描,admin_account,风控管理子菜单,safe_smoke,GET,{{admin_url}}/admin/priv/list?pid=40000,/admin/priv/list,{{admin_url}},"status_true,data_list",fat-admin-runtime,,只读权限树
005,MENU-50000,ADMIN-SCAN,SCAN,positive,admin,permission,admin,admin_scan,后台页面扫描,admin_account,游戏子菜单,safe_smoke,GET,{{admin_url}}/admin/priv/list?pid=50000,/admin/priv/list,{{admin_url}},"status_true,data_list",fat-admin-runtime,,只读权限树
006,MENU-60000,ADMIN-SCAN,SCAN,positive,admin,permission,admin,admin_scan,后台页面扫描,admin_account,系统子菜单,safe_smoke,GET,{{admin_url}}/admin/priv/list?pid=60000,/admin/priv/list,{{admin_url}},"status_true,data_list",fat-admin-runtime,,只读权限树
007,MENU-70000,ADMIN-SCAN,SCAN,positive,admin,permission,admin,admin_scan,后台页面扫描,admin_account,日志子菜单,safe_smoke,GET,{{admin_url}}/admin/priv/list?pid=70000,/admin/priv/list,{{admin_url}},"status_true,data_list",fat-admin-runtime,,只读权限树
008,MENU-80000,ADMIN-SCAN,SCAN,positive,admin,permission,admin,admin_scan,后台页面扫描,admin_account,报表子菜单,safe_smoke,GET,{{admin_url}}/admin/priv/list?pid=80000,/admin/priv/list,{{admin_url}},"status_true,data_list",fat-admin-runtime,,只读权限树
009,MENU-90000,ADMIN-SCAN,SCAN,positive,admin,permission,admin,admin_scan,后台页面扫描,admin_account,运营管理子菜单,safe_smoke,GET,{{admin_url}}/admin/priv/list?pid=90000,/admin/priv/list,{{admin_url}},"status_true,data_list",fat-admin-runtime,,只读权限树
010,MENU-100000,ADMIN-SCAN,SCAN,positive,admin,permission,admin,admin_scan,后台页面扫描,admin_account,活动管理子菜单,safe_smoke,GET,{{admin_url}}/admin/priv/list?pid=100000,/admin/priv/list,{{admin_url}},"status_true,data_list",fat-admin-runtime,,只读权限树
011,MENU-120600,ADMIN-SCAN,SCAN,positive,admin,permission,admin,admin_scan,后台页面扫描,admin_account,代理管理子菜单,safe_smoke,GET,{{admin_url}}/admin/priv/list?pid=120600,/admin/priv/list,{{admin_url}},"status_true,data_list",fat-admin-runtime,,只读权限树
012,MENU-130000,ADMIN-SCAN,SCAN,positive,admin,permission,admin,admin_scan,后台页面扫描,admin_account,素材管理子菜单,safe_smoke,GET,{{admin_url}}/admin/priv/list?pid=130000,/admin/priv/list,{{admin_url}},"status_true,data_list",fat-admin-runtime,,只读权限树
