top_menu,permission_id,permission_name,permission_module,route_name,state,flag,child_operation_count,source,ui_scan_status
会员,10001,会员列表,/admin/member/list,,1,1,4,GET /admin/priv/list,PENDING_UI_SCAN
会员,10002,会员详情,/admin/member/detail,,1,1,11,GET /admin/priv/list,PENDING_UI_SCAN
会员,10003,会员新增,/admin/member/insert,,1,1,0,GET /admin/priv/list,PENDING_UI_SCAN
会员,10004,会员更新,/admin/member/update,,1,1,0,GET /admin/priv/list,PENDING_UI_SCAN
会员,10300,会员奖励表,/admin/promo/vip/log,,1,1,2,GET /admin/priv/list,PENDING_UI_SCAN
KYC,20001,KYC列表,/admin/kyc/list,,1,1,0,GET /admin/priv/list,PENDING_UI_SCAN
KYC,20002,KYC拒绝,/admin/kyc/reject,,1,1,0,GET /admin/priv/list,PENDING_UI_SCAN
KYC,20003,KYC通过,/admin/kyc/approve,,1,1,0,GET /admin/priv/list,PENDING_UI_SCAN
KYC,20004,KYC删除,/admin/kyc/delete,,1,1,0,GET /admin/priv/list,PENDING_UI_SCAN
KYC,20006,KYC编辑,/admin/kyc/edit,,1,1,0,GET /admin/priv/list,PENDING_UI_SCAN
KYC,20007,KYC异动记录,/admin/kyc/ekyc/log,,1,1,0,GET /admin/priv/list,PENDING_UI_SCAN
财务管理,30100,存款记录,/finance/deposit,,1,1,3,GET /admin/priv/list,PENDING_UI_SCAN
财务管理,30200,提现记录,/finance/withdraw,,1,1,3,GET /admin/priv/list,PENDING_UI_SCAN
财务管理,30300,注单管理,/admin/record/bet,,1,1,0,GET /admin/priv/list,PENDING_UI_SCAN
财务管理,30400,会员钱包帐变,/finance/transaction,,1,1,3,GET /admin/priv/list,PENDING_UI_SCAN
财务管理,30500,支付渠道,/finance/cate,,1,1,9,GET /admin/priv/list,PENDING_UI_SCAN
财务管理,30600,lazada订单,/finance/lazada,,1,1,2,GET /admin/priv/list,PENDING_UI_SCAN
风控管理,40100,存/提审核,/risk/control/wd,,1,1,10,GET /admin/priv/list,PENDING_UI_SCAN
风控管理,40200,上下分记录,/risk/control/adjust,,1,1,2,GET /admin/priv/list,PENDING_UI_SCAN
风控管理,40300,流水记录,/risk/turnover,Turnover,1,1,5,GET /admin/priv/list,PENDING_UI_SCAN
风控管理,40400,风控日志,/admin/member/risk,,1,1,2,GET /admin/priv/list,PENDING_UI_SCAN
游戏,50100,游戏记录,/admin/record/game,,1,1,10,GET /admin/priv/list,PENDING_UI_SCAN
游戏,50200,场馆管理,/game/platform,,1,1,6,GET /admin/priv/list,PENDING_UI_SCAN
游戏,50300,游戏管理,/game/game,,1,1,4,GET /admin/priv/list,PENDING_UI_SCAN
游戏,50400,厂商管理,/admin/platform,,1,1,3,GET /admin/priv/list,PENDING_UI_SCAN
系统,60100,角色配置,/group,Group,1,1,5,GET /admin/priv/list,PENDING_UI_SCAN
系统,60200,员工配置,/user,User,1,1,4,GET /admin/priv/list,PENDING_UI_SCAN
系统,60300,短信验证码,/sms,Sms,1,1,2,GET /admin/priv/list,PENDING_UI_SCAN
系统,60500,白名单,/whitelist,WhiteList,1,1,4,GET /admin/priv/list,PENDING_UI_SCAN
系统,60600,注单监控,/admin/reports/provider/order/compare,,1,1,1,GET /admin/priv/list,PENDING_UI_SCAN
日志,70001,日志列表,/admin/log/list,,1,1,1,GET /admin/priv/list,PENDING_UI_SCAN
报表,80200,游戏类型报表,/admin/reportsGameClass,,1,1,4,GET /admin/priv/list,PENDING_UI_SCAN
报表,80300,游戏厂商报表,/admin/reportsVenue,,1,1,4,GET /admin/priv/list,PENDING_UI_SCAN
报表,80500,会员游戏日统计,/admin/reports/member-daily-game,,1,1,3,GET /admin/priv/list,PENDING_UI_SCAN
报表,80100,游戏报表,/admin/reportsGame,,1,1,5,GET /admin/priv/list,PENDING_UI_SCAN
运营管理,92001,邀请好友,/admin/promo/invite,,1,1,10,GET /admin/priv/list,PENDING_UI_SCAN
运营管理,93000,运营小工具,/admin/ops-tools,,1,1,2,GET /admin/priv/list,PENDING_UI_SCAN
运营管理,90100,系统配置,/operation/config,,1,1,3,GET /admin/priv/list,PENDING_UI_SCAN
运营管理,90200,轮播图,/banner,Banner,1,1,6,GET /admin/priv/list,PENDING_UI_SCAN
运营管理,90300,VIP配置,/vip,,1,1,4,GET /admin/priv/list,PENDING_UI_SCAN
运营管理,90400,首页弹窗,/admin/banner,banner,1,1,3,GET /admin/priv/list,PENDING_UI_SCAN
运营管理,90500,埋点,/admin/buriedPoint,buriedPoint,1,1,3,GET /admin/priv/list,PENDING_UI_SCAN
运营管理,90600,活动支出审计,/admin/bonus,,1,1,6,GET /admin/priv/list,PENDING_UI_SCAN
运营管理,90700,日常报表,/admin/reports,,1,1,6,GET /admin/priv/list,PENDING_UI_SCAN
运营管理,90800,客户端配置,,,1,1,3,GET /admin/priv/list,PENDING_UI_SCAN
运营管理,90900,站内信,/admin/message,,1,1,8,GET /admin/priv/list,PENDING_UI_SCAN
运营管理,91000,消息模板,/admin/message/templates,,1,1,0,GET /admin/priv/list,PENDING_UI_SCAN
运营管理,95000,跑马灯,/marquee,marquee,1,1,4,GET /admin/priv/list,PENDING_UI_SCAN
运营管理,96000,爆奖榜,/admin/hotBetNotice,HotBetNotice,1,1,7,GET /admin/priv/list,PENDING_UI_SCAN
运营管理,91100,门店客户端,/shop/gs,Shop/gs,1,1,2,GET /admin/priv/list,PENDING_UI_SCAN
运营管理,91200,充值倍率,/admin/sys/config/deposit/multiple,,1,1,3,GET /admin/priv/list,PENDING_UI_SCAN
活动管理,100100,活动列表,/admin/promo/list,,1,1,45,GET /admin/priv/list,PENDING_UI_SCAN
活动管理,100200,vip任务中心,/admin/promo/task,,1,1,4,GET /admin/priv/list,PENDING_UI_SCAN
活动管理,100300,vip商城,/admin/mall,,1,1,15,GET /admin/priv/list,PENDING_UI_SCAN
活动管理,100400,世界杯活动,/promo/world,,1,1,5,GET /admin/priv/list,PENDING_UI_SCAN
代理管理,120601,代理统计,/admin/reports/agencys,,1,1,2,GET /admin/priv/list,PENDING_UI_SCAN
素材管理,130001,素材列表,/admin/ad/material/list,,1,1,0,GET /admin/priv/list,PENDING_UI_SCAN
素材管理,130002,素材详情,/admin/ad/material/detail,,1,1,0,GET /admin/priv/list,PENDING_UI_SCAN
素材管理,130003,素材新增,/admin/ad/material/insert,,1,1,0,GET /admin/priv/list,PENDING_UI_SCAN
素材管理,130004,素材编辑,/admin/ad/material/update,,1,1,0,GET /admin/priv/list,PENDING_UI_SCAN
素材管理,130005,素材更新状态,/admin/ad/material/update/state,,1,1,0,GET /admin/priv/list,PENDING_UI_SCAN
素材管理,130006,素材删除,/admin/ad/material/delete,,1,1,0,GET /admin/priv/list,PENDING_UI_SCAN
素材管理,130007,平台选单,/admin/ad/material/platform/menu,,1,1,0,GET /admin/priv/list,PENDING_UI_SCAN
素材管理,130008,素材类型列表,/admin/ad/material/type/list,,1,1,0,GET /admin/priv/list,PENDING_UI_SCAN
素材管理,130009,素材类型新增,/admin/ad/material/type/insert,,1,1,0,GET /admin/priv/list,PENDING_UI_SCAN
素材管理,130010,素材类型编辑,/admin/ad/material/type/update,,1,1,0,GET /admin/priv/list,PENDING_UI_SCAN
素材管理,130011,素材类型更新状态,/admin/ad/material/type/update/state,,1,1,0,GET /admin/priv/list,PENDING_UI_SCAN
素材管理,130012,素材类型删除,/admin/ad/material/type/delete,,1,1,0,GET /admin/priv/list,PENDING_UI_SCAN
