top_menu,parent_permission_id,parent_permission_name,operation_id,operation_name,declared_path,documented,inventory_name,inventory_file,runtime_request_status
会员,10001,会员列表,10010,清空提款密码,/admin/finance/member/wallet/pwd/clear,YES,清空提款密码 -- ducky,后台/会员列表/清空提款密码 -- ducky.bru,NOT_TRIGGERED_FROM_UI
会员,10001,会员列表,10009,会员导出,/admin/member/export,YES,数据导出 - seven/double,后台/会员列表/数据导出 - seven-double.bru,NOT_TRIGGERED_FROM_UI
会员,10001,会员列表,10011,解封,/admin/member/unblock,YES,block解封,后台/会员列表/block解封.bru,NOT_TRIGGERED_FROM_UI
会员,10001,会员列表,100010001,会员列表_敏感数据,,NO,,,NOT_TRIGGERED_FROM_UI
会员,10002,会员详情,10005,会员kyc详情,/admin/kyc/detail,YES,kyc详情 | 获取 kyc 详情 - double,后台/kyc/获取 kyc 详情 - double.bru | 后台/会员列表/kyc详情.bru,NOT_TRIGGERED_FROM_UI
会员,10002,会员详情,10006,会员密码otp修改,/admin/user/update/password,YES,后台员工修改密码,后台/后台账号管理/后台员工修改密码.bru,NOT_TRIGGERED_FROM_UI
会员,10002,会员详情,10007,会员登陆日志,/admin/member/log/list,YES,会员登录日志-seven,后台/后台日志/会员登录日志-seven.bru,NOT_TRIGGERED_FROM_UI
会员,10002,会员详情,10008,会员流水清理,/admin/member/turnover/clear,YES,会员流水清理-light,后台/会员列表/会员流水清理-light.bru,NOT_TRIGGERED_FROM_UI
会员,10002,会员详情,100316,转为代理,/admin/member/become/agent,NO,,,NOT_TRIGGERED_FROM_UI
会员,10002,会员详情,10014,会员转线-查询,/admin/superior/one,YES,代理查询,后台/会员列表/代理查询.bru,NOT_TRIGGERED_FROM_UI
会员,10002,会员详情,10012,会员转线-变更,/admin/superior/update,YES,会员转线,后台/会员列表/会员转线.bru,NOT_TRIGGERED_FROM_UI
会员,10002,会员详情,10013,会员转线-记录,/admin/superior/log,YES,会员转线log,后台/会员列表/会员转线log.bru,NOT_TRIGGERED_FROM_UI
会员,10002,会员详情,10015,会员充值倍率调整,/admin/member/deposit/multiple/update,YES,用户充值倍率调整-aliang,后台/后台账号管理/用户充值倍率调整-aliang.bru,NOT_TRIGGERED_FROM_UI
会员,10002,会员详情,10016,会员充值倍率操作记录,/admin/member/deposit/multiple/log,YES,用户充值倍率调整日志列表-aliang,后台/后台账号管理/用户充值倍率调整日志列表-aliang.bru,NOT_TRIGGERED_FROM_UI
会员,10002,会员详情,10021,vip等级手动调整,/admin/member/vip/level/manual/upgrade,YES,会员vip手动升级,后台/Vipv2/会员vip手动升级.bru,NOT_TRIGGERED_FROM_UI
会员,10300,会员奖励表,10301,会员奖励表-列表,/admin/promo/vip/log/list,YES,奖励表列表-aliang,后台/Vipv2/奖励表列表-aliang.bru,NOT_TRIGGERED_FROM_UI
会员,10300,会员奖励表,10302,会员奖励表-导出,/admin/promo/vip/log/export,YES,奖励表-导出-aliang,后台/Vipv2/奖励表-导出-aliang.bru,NOT_TRIGGERED_FROM_UI
财务管理,30100,存款记录,30101,存款记录-列表,/admin/finance/deposit/list,YES,充值列表-wesley,后台/财务管理/存款记录/充值列表-wesley.bru,NOT_TRIGGERED_FROM_UI
财务管理,30100,存款记录,30102,存款记录-同步,/admin/finance/deposit/sync,YES,充值同步状态-wesley,后台/财务管理/存款记录/充值同步状态-wesley.bru,NOT_TRIGGERED_FROM_UI
财务管理,30100,存款记录,30103,存款列表导出,/admin/finance/deposit/export,YES,充值记录导出-wesley,后台/财务管理/存款记录/充值记录导出-wesley.bru,NOT_TRIGGERED_FROM_UI
财务管理,30200,提现记录,30201,提现记录-列表,/admin/finance/withdraw/list,YES,提现列表-wesley,后台/财务管理/提现记录/提现列表-wesley.bru,NOT_TRIGGERED_FROM_UI
财务管理,30200,提现记录,30202,提现记录-同步,/admin/finance/withdraw/sync,YES,提现同步状态-wesley,后台/财务管理/提现记录/提现同步状态-wesley.bru,NOT_TRIGGERED_FROM_UI
财务管理,30200,提现记录,30203,取款列表导出,/admin/finance/withdraw/export,YES,提现记录导出-wesley,后台/财务管理/提现记录/提现记录导出-wesley.bru,NOT_TRIGGERED_FROM_UI
财务管理,30400,会员钱包帐变,30401,会员钱包帐变-类型,/admin/finance/transaction/types,YES,账变类型- wesley,后台/财务管理/会员钱包账变/账变类型- wesley.bru,NOT_TRIGGERED_FROM_UI
财务管理,30400,会员钱包帐变,30402,会员钱包帐变-列表,/admin/finance/transaction/list,YES,账变列表- wesley,后台/财务管理/会员钱包账变/账变列表- wesley.bru,NOT_TRIGGERED_FROM_UI
财务管理,30400,会员钱包帐变,30403,会员详情-查看钱包,/admin/finance/member/wallet,YES,会员钱包 - wesley,后台/会员列表/会员钱包 - wesley.bru,NOT_TRIGGERED_FROM_UI
财务管理,30500,支付渠道,30505,支付渠道-通道列表,/admin/finance/payment/channel/list,YES,支付渠道通道列表,后台/财务管理/支付渠道/支付渠道通道列表.bru,NOT_TRIGGERED_FROM_UI
财务管理,30500,支付渠道,30509,支付渠道-提款通道列表,/admin/finance/payment/withdraw/channels,YES,提现渠道列表-cold,合规/财务管理/财务记录/提现渠道列表-cold.bru | 后台/财务管理/提现记录/提现渠道列表-cold.bru,NOT_TRIGGERED_FROM_UI
财务管理,30500,支付渠道,30506,支付渠道-通道新增,/admin/finance/payment/channel/insert,YES,添加支付渠道通道,后台/财务管理/支付渠道/添加支付渠道通道.bru,NOT_TRIGGERED_FROM_UI
财务管理,30500,支付渠道,30510,支付渠道-充值通道列表,/admin/finance/payment/deposit/channels,YES,支付渠道列表-cold,后台/财务管理/存款记录/支付渠道列表-cold.bru,NOT_TRIGGERED_FROM_UI
财务管理,30500,支付渠道,30507,支付渠道-通道修改,/admin/finance/payment/channel/update,YES,更新支付渠道通道,后台/财务管理/支付渠道/更新支付渠道通道.bru,NOT_TRIGGERED_FROM_UI
财务管理,30500,支付渠道,30511,渠道配置列表,/admin/finance/payment/platform/list,YES,支付平台列表,后台/财务管理/支付渠道/支付平台列表.bru,NOT_TRIGGERED_FROM_UI
财务管理,30500,支付渠道,30512,添加渠道,/admin/finance/payment/platform/insert,YES,添加支付平台,后台/财务管理/支付渠道/添加支付平台.bru,NOT_TRIGGERED_FROM_UI
财务管理,30500,支付渠道,30513,编辑渠道,/admin/finance/payment/platform/update,YES,更新支付平台,后台/财务管理/支付渠道/更新支付平台.bru,NOT_TRIGGERED_FROM_UI
财务管理,30500,支付渠道,30514,渠道开关,/admin/finance/payment/platform/enable,YES,支付平台开关,后台/财务管理/支付渠道/支付平台开关.bru,NOT_TRIGGERED_FROM_UI
财务管理,30600,lazada订单,30601,lazada订单列表,/admin/finance/lazada/order/list,YES,lazada-订单列表-owen,后台/财务管理/lazada订单/lazada-订单列表-owen.bru,NOT_TRIGGERED_FROM_UI
财务管理,30600,lazada订单,30602,lazada发送验证码,/admin/finance/lazada/send/sms,YES,lazada-重新发货-owen,后台/财务管理/lazada订单/lazada-重新发货-owen.bru,NOT_TRIGGERED_FROM_UI
风控管理,40100,存/提审核,40101,提现审核通过,/admin/finance/withdraw/agree,YES,提现同意-wesley,后台/风控管理/存-提审核/提现同意-wesley.bru,NOT_TRIGGERED_FROM_UI
风控管理,40100,存/提审核,40102,提现审核拒绝,/admin/finance/withdraw/reject,YES,提现拒绝-wesley,后台/风控管理/存-提审核/提现拒绝-wesley.bru,NOT_TRIGGERED_FROM_UI
风控管理,40100,存/提审核,40103,存款记录-补单,/admin/finance/deposit/manual/success,YES,充值补单-wesley,后台/风控管理/存-提审核/充值补单-wesley.bru,NOT_TRIGGERED_FROM_UI
风控管理,40100,存/提审核,40104,提现审核-列表,/admin/finance/withdraw/risk/audit/list,YES,提现审核列表-wesley,后台/风控管理/存-提审核/提现审核列表-wesley.bru,NOT_TRIGGERED_FROM_UI
风控管理,40100,存/提审核,40105,提现订单-列表,/admin/finance/withdraw/risk/list,NO,,,NOT_TRIGGERED_FROM_UI
风控管理,40100,存/提审核,40106,存款订单-列表,/admin/finance/deposit/risk/list,YES,充值列表-wesley,后台/风控管理/存-提审核/充值列表-wesley.bru,NOT_TRIGGERED_FROM_UI
风控管理,40100,存/提审核,40107,提现批量审核通过,/admin/finance/withdraw/batch/agree,YES,批量提现同意-cold,后台/风控管理/存-提审核/批量提现同意-cold.bru,NOT_TRIGGERED_FROM_UI
风控管理,40100,存/提审核,40108,提现批量审核拒绝,/admin/finance/withdraw/batch/reject,YES,批量提现拒绝-cold,后台/风控管理/存-提审核/批量提现拒绝-cold.bru,NOT_TRIGGERED_FROM_UI
风控管理,40100,存/提审核,40109,提现订单-出款失败,/admin/finance/withdraw/fail,YES,出款失败-wesley,后台/风控管理/存-提审核/出款失败-wesley.bru,NOT_TRIGGERED_FROM_UI
风控管理,40100,存/提审核,40110,提现订单-出款成功,/admin/finance/withdraw/success,YES,出款成功-wesley,后台/风控管理/存-提审核/出款成功-wesley.bru,NOT_TRIGGERED_FROM_UI
风控管理,40200,上下分记录,40201,上下分记录-列表,/admin/finance/adjust/list,YES,手动上下分列表-wesley | 系统调整,代理管理后台/财务管理/财务报表/系统调整.bru | 后台/风控管理/上下分记录/手动上下分列表-wesley.bru,NOT_TRIGGERED_FROM_UI
风控管理,40200,上下分记录,40202,上下分记录-新增,/admin/finance/adjust/insert,YES,余额调整 | 添加手动上下分-wesley,代理管理后台/代理管理/代理列表/余额调整.bru | 后台/风控管理/上下分记录/添加手动上下分-wesley.bru,NOT_TRIGGERED_FROM_UI
风控管理,40300,流水记录,40301,流水记录-列表,/admin/finance/turnover/list,YES,会员流水明细,后台/会员流水/会员流水明细.bru,NOT_TRIGGERED_FROM_UI
风控管理,40300,流水记录,40302,流水记录-清零,/admin/finance/turnover/clear,YES,会员流水-清零 | 会员流水清理-light,后台/会员流水/会员流水-清零.bru | 后台/会员流水/会员流水清理-light.bru,NOT_TRIGGERED_FROM_UI
风控管理,40300,流水记录,40303,流水记录-增加,/admin/finance/turnover/add,YES,会员流水-增加,后台/会员流水/会员流水-增加.bru,NOT_TRIGGERED_FROM_UI
风控管理,40300,流水记录,40304,流水记录-扣减,/admin/finance/turnover/sub,YES,会员流水-扣减,后台/会员流水/会员流水-扣减.bru,NOT_TRIGGERED_FROM_UI
风控管理,40300,流水记录,40305,流水记录-异动记录,/admin/finance/turnover/change/list,YES,会员流水-异动记录,后台/会员流水/会员流水-异动记录.bru,NOT_TRIGGERED_FROM_UI
风控管理,40400,风控日志,40401,风控日志--列表,/admin/member/risk/log,YES,风控日志,后台/会员列表/风控日志.bru,NOT_TRIGGERED_FROM_UI
风控管理,40400,风控日志,40402,风控日志--风控调整,/admin/member/risk/update,YES,风控调整,后台/会员列表/风控调整.bru,NOT_TRIGGERED_FROM_UI
游戏,50100,游戏记录,50101,刷新游戏,/admin/game/refresh,NO,,,NOT_TRIGGERED_FROM_UI
