top_menu,route,source,runtime_status
游戏,/game,FAT current umi bundle,NOT_OPENED_NO_BROWSER
游戏,/game/bet-orders,FAT current umi bundle,NOT_OPENED_NO_BROWSER
游戏,/gamev2,FAT current umi bundle,NOT_OPENED_NO_BROWSER
游戏,/gamev2/freespin-grants,FAT current umi bundle,NOT_OPENED_NO_BROWSER
游戏,/gamev2/freespin-import-logs,FAT current umi bundle,NOT_OPENED_NO_BROWSER
游戏,/gamev2/game-management,FAT current umi bundle,NOT_OPENED_NO_BROWSER
游戏,/gamev2/manufacturer-management,FAT current umi bundle,NOT_OPENED_NO_BROWSER
游戏,/gamev2/venue-settings,FAT current umi bundle,NOT_OPENED_NO_BROWSER
日志,/logs/list,FAT current umi bundle,NOT_OPENED_NO_BROWSER
会员,/member-center/detail/:userId,FAT current umi bundle,NOT_OPENED_NO_BROWSER
会员,/member-center/list,FAT current umi bundle,NOT_OPENED_NO_BROWSER
会员,/member-management,FAT current umi bundle,NOT_OPENED_NO_BROWSER
会员,/member-management/inviter-transfer-records,FAT current umi bundle,NOT_OPENED_NO_BROWSER
会员,/member-management/vip-checkin-log,FAT current umi bundle,NOT_OPENED_NO_BROWSER
会员,/member-management/vip-config,FAT current umi bundle,NOT_OPENED_NO_BROWSER
会员,/member-management/vip-rewards,FAT current umi bundle,NOT_OPENED_NO_BROWSER
运营管理,/operations,FAT current umi bundle,NOT_OPENED_NO_BROWSER
运营管理,/operations/activity-expenditure-audit,FAT current umi bundle,NOT_OPENED_NO_BROWSER
运营管理,/operations/activity-list,FAT current umi bundle,NOT_OPENED_NO_BROWSER
运营管理,/operations/advertisement-tracking,FAT current umi bundle,NOT_OPENED_NO_BROWSER
运营管理,/operations/client-config,FAT current umi bundle,NOT_OPENED_NO_BROWSER
运营管理,/operations/daily-reports,FAT current umi bundle,NOT_OPENED_NO_BROWSER
运营管理,/operations/dailyreports,FAT current umi bundle,NOT_OPENED_NO_BROWSER
运营管理,/operations/friend-invite,FAT current umi bundle,NOT_OPENED_NO_BROWSER
运营管理,/operations/home-sections,FAT current umi bundle,NOT_OPENED_NO_BROWSER
运营管理,/operations/in-site-message,FAT current umi bundle,NOT_OPENED_NO_BROWSER
运营管理,/operations/jackpot-board,FAT current umi bundle,NOT_OPENED_NO_BROWSER
运营管理,/operations/mall-management,FAT current umi bundle,NOT_OPENED_NO_BROWSER
运营管理,/operations/marquee-management,FAT current umi bundle,NOT_OPENED_NO_BROWSER
运营管理,/operations/material-management,FAT current umi bundle,NOT_OPENED_NO_BROWSER
运营管理,/operations/message-templates,FAT current umi bundle,NOT_OPENED_NO_BROWSER
运营管理,/operations/ops-tools,FAT current umi bundle,NOT_OPENED_NO_BROWSER
运营管理,/operations/recharge-template,FAT current umi bundle,NOT_OPENED_NO_BROWSER
运营管理,/promo-marketing,FAT current umi bundle,NOT_OPENED_NO_BROWSER
运营管理,/promo-marketing/channels,FAT current umi bundle,NOT_OPENED_NO_BROWSER
运营管理,/promo-marketing/effect-evaluation,FAT current umi bundle,NOT_OPENED_NO_BROWSER
运营管理,/promo-marketing/first-deposit-daily-active,FAT current umi bundle,NOT_OPENED_NO_BROWSER
运营管理,/promo-marketing/promotion-data,FAT current umi bundle,NOT_OPENED_NO_BROWSER
运营管理,/promo-marketing/register-daily-active,FAT current umi bundle,NOT_OPENED_NO_BROWSER
运营管理,/promo-marketing/statistical-reports,FAT current umi bundle,NOT_OPENED_NO_BROWSER
报表,/report-management,FAT current umi bundle,NOT_OPENED_NO_BROWSER
报表,/report-management/game-platform-report/list,FAT current umi bundle,NOT_OPENED_NO_BROWSER
报表,/report-management/game-reports/list,FAT current umi bundle,NOT_OPENED_NO_BROWSER
报表,/report-management/game-types-report/list,FAT current umi bundle,NOT_OPENED_NO_BROWSER
报表,/report-management/member-daily-game-stats,FAT current umi bundle,NOT_OPENED_NO_BROWSER
报表,/report-management/member-daily-stats,FAT current umi bundle,NOT_OPENED_NO_BROWSER
风控管理,/risk-control,FAT current umi bundle,NOT_OPENED_NO_BROWSER
风控管理,/risk-control/dw-audit,FAT current umi bundle,NOT_OPENED_NO_BROWSER
风控管理,/risk-control/risk-logs,FAT current umi bundle,NOT_OPENED_NO_BROWSER
风控管理,/risk-control/temporary-restriction-list,FAT current umi bundle,NOT_OPENED_NO_BROWSER
风控管理,/risk-control/up-down-score,FAT current umi bundle,NOT_OPENED_NO_BROWSER
系统,/system,FAT current umi bundle,NOT_OPENED_NO_BROWSER
系统,/system/order-monitor,FAT current umi bundle,NOT_OPENED_NO_BROWSER
系统,/system/role,FAT current umi bundle,NOT_OPENED_NO_BROWSER
系统,/system/sms-otp,FAT current umi bundle,NOT_OPENED_NO_BROWSER
系统,/system/staff,FAT current umi bundle,NOT_OPENED_NO_BROWSER
系统,/system/staff/detail/:userId,FAT current umi bundle,NOT_OPENED_NO_BROWSER
系统,/user,FAT current umi bundle,NOT_OPENED_NO_BROWSER
系统,/user/login,FAT current umi bundle,NOT_OPENED_NO_BROWSER
系统,/whitelist/list,FAT current umi bundle,NOT_OPENED_NO_BROWSER
