caller_surface,top_menu,page_name,page_route,control_type,action_name,method,normalized_path,query_fields,path_fields,body_fields,header_fields,parameter_source,requested_start,requested_end,accepted_start,accepted_end,timezone,time_fields_and_units,page_size_fields,request_payload,http_status,business_status,response_type,response_keys,record_count,non_empty,auth_role,side_effect,before_after_change,original_surface,original_module,original_name,original_source_file,classification,currently_used,evidence,note
admin,KYC,KYC,/kyc,date_range_filter,registered Query/Search [7d],POST,/admin/kyc/list,,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-08-27,2026-09-03,2026-08-27 00:00:00,2026-09-03 23:59:59,Asia/Manila,{},{},opaque application/json (100 bytes),200,True,object,d | s | t,2,True,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,kyc,获取 kyc 列表 - double/owen,后台/kyc/获取 kyc 列表 - double-owen.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Logs,Logs,/logs/list,date_range_filter,registered Query/Search [7d],GET,/admin/log/list,end_time | page | page_size | start_time,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-08-27,2026-09-03,2026-08-27 00:00,2026-09-03 23:59:59,Asia/Manila,"{""end_time"": {""unit"": ""epoch_seconds"", ""value"": ""1788451140""}, ""start_time"": {""unit"": ""epoch_seconds"", ""value"": ""1787760000""}}","{""page"": ""1"", ""page_size"": ""20""}",opaque unspecified (0 bytes),200,True,object,d | s | t,20,True,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,other,操作日志,代理管理后台/系统/操作日志.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Member Management,Member,/member-center/list,date_range_filter,registered Query/Search [7d],POST,/admin/member/list,,,end_time | page | page_size | start_time,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-08-27,2026-09-03,2026-08-27 00:00:00,2026-09-03 23:59:59,Asia/Manila,"{""end_time"": {""unit"": ""epoch_milliseconds"", ""value"": 1788451199999}, ""start_time"": {""unit"": ""epoch_milliseconds"", ""value"": 1787760000000}}","{""page"": 1, ""page_size"": 20}",decoded,200,True,object,d | page | page_size | summary | t,18,True,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,,,,,UNDOCUMENTED_ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Member Management,VIP Rewards,/member-management/vip-rewards,date_range_filter,button exact visible text [7d],GET,/admin/promo/vip/log/list,grant_end_at | grant_start_at | page | page_size,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-08-27,2026-09-03,2026-08-27,2026-09-03,Asia/Manila,"{""grant_end_at"": {""unit"": ""epoch_milliseconds"", ""value"": ""1788451199999""}, ""grant_start_at"": {""unit"": ""epoch_milliseconds"", ""value"": ""1787760000000""}}","{""page"": ""1"", ""page_size"": ""20""}",opaque unspecified (0 bytes),200,True,object,list | summary | t,0,False,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,promo,奖励表列表-aliang,后台/Vipv2/奖励表列表-aliang.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Member Management,VIP Rewards,/member-management/vip-rewards,date_range_filter,button exact visible text [30d],GET,/admin/promo/vip/log/list,grant_end_at | grant_start_at | page | page_size,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-08-04,2026-09-03,2026-08-04,2026-09-03,Asia/Manila,"{""grant_end_at"": {""unit"": ""epoch_milliseconds"", ""value"": ""1788451199999""}, ""grant_start_at"": {""unit"": ""epoch_milliseconds"", ""value"": ""1785772800000""}}","{""page"": ""1"", ""page_size"": ""20""}",opaque unspecified (0 bytes),200,True,object,list | summary | t,0,False,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,promo,奖励表列表-aliang,后台/Vipv2/奖励表列表-aliang.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Member Management,VIP Rewards,/member-management/vip-rewards,date_range_filter,button exact visible text [90d],GET,/admin/promo/vip/log/list,grant_end_at | grant_start_at | page | page_size,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-06-05,2026-09-03,2026-06-05,2026-09-03,Asia/Manila,"{""grant_end_at"": {""unit"": ""epoch_milliseconds"", ""value"": ""1788451199999""}, ""grant_start_at"": {""unit"": ""epoch_milliseconds"", ""value"": ""1780588800000""}}","{""page"": ""1"", ""page_size"": ""20""}",opaque unspecified (0 bytes),200,True,object,list | summary | t,0,False,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,promo,奖励表列表-aliang,后台/Vipv2/奖励表列表-aliang.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Member Management,VIP Rewards,/member-management/vip-rewards,date_range_filter,button exact visible text [365d],GET,/admin/promo/vip/log/list,grant_end_at | grant_start_at | page | page_size,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2025-09-03,2026-09-03,2025-09-03,2026-09-03,Asia/Manila,"{""grant_end_at"": {""unit"": ""epoch_milliseconds"", ""value"": ""1788451199999""}, ""grant_start_at"": {""unit"": ""epoch_milliseconds"", ""value"": ""1756828800000""}}","{""page"": ""1"", ""page_size"": ""20""}",opaque unspecified (0 bytes),200,True,object,list | summary | t,0,False,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,promo,奖励表列表-aliang,后台/Vipv2/奖励表列表-aliang.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Member Management,VIP Rewards,/member-management/vip-rewards,date_range_filter,button exact visible text [page_max_observed],GET,/admin/promo/vip/log/list,grant_end_at | grant_start_at | page | page_size,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2020-01-01,2026-09-03,2020-01-01,2026-09-03,Asia/Manila,"{""grant_end_at"": {""unit"": ""epoch_milliseconds"", ""value"": ""1788451199999""}, ""grant_start_at"": {""unit"": ""epoch_milliseconds"", ""value"": ""1577808000000""}}","{""page"": ""1"", ""page_size"": ""20""}",opaque unspecified (0 bytes),200,True,object,list | summary | t,0,False,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,promo,奖励表列表-aliang,后台/Vipv2/奖励表列表-aliang.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Member Management,Inviter Transfer Records,/member-management/inviter-transfer-records,date_range_filter,registered Query/Search [7d],GET,/admin/promo/invite/friends/transfer/list,created_end_at | created_start_at | page | page_size,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-08-27,2026-09-03,2026-08-27 00:00:00,2026-09-03 23:59:59,Asia/Manila,"{""created_end_at"": {""unit"": ""epoch_milliseconds"", ""value"": ""1788451199000""}, ""created_start_at"": {""unit"": ""epoch_milliseconds"", ""value"": ""1787760000000""}}","{""page"": ""1"", ""page_size"": ""20""}",opaque unspecified (0 bytes),200,True,object,d | t,0,False,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,promo,好友转线列表,后台/运营管理/邀请好友/好友转线列表.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Member Management,Inviter Transfer Records,/member-management/inviter-transfer-records,date_range_filter,registered Query/Search [30d],GET,/admin/promo/invite/friends/transfer/list,created_end_at | created_start_at | page | page_size,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-08-04,2026-09-03,2026-08-04 00:00:00,2026-09-03 23:59:59,Asia/Manila,"{""created_end_at"": {""unit"": ""epoch_milliseconds"", ""value"": ""1788451199000""}, ""created_start_at"": {""unit"": ""epoch_milliseconds"", ""value"": ""1785772800000""}}","{""page"": ""1"", ""page_size"": ""20""}",opaque unspecified (0 bytes),200,True,object,d | t,0,False,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,promo,好友转线列表,后台/运营管理/邀请好友/好友转线列表.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
