menu,page,route,operation,action_status,trigger_status,save_confirmation,request_method,normalized_path,query_fields,path_fields,body_fields,parameter_source,http_status,business_status,response_structure,permission_or_role,actual_side_effect,before_state,after_state,original_document_classification,original_document_name,original_document_source,current_classification,currently_used_by_ui,evidence,blocked_scope,blocked_reason
Member,Member List,/member-center/list,member_list:filter:Phone Number,EXECUTED_READ_ONLY,TRIGGERED_INTERFACE,NOT_APPLICABLE,POST,/admin/member/list,,,page|page_size|phone,visible form input/UI enum plus page defaults,200,true,object[d|page|page_size|summary|t],authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,documented admin endpoint,会员列表 - seven/double,后台/会员列表/会员列表 - seven-double.bru,MISCLASSIFIED,true,member-list-a-internal-read-scan.json network[18:19]; semantic DOM locator,,
Member,Member List,/member-center/list,member_list:filter:Registration IP,EXECUTED_READ_ONLY,TRIGGERED_INTERFACE,NOT_APPLICABLE,POST,/admin/member/list,,,end_time|page|page_size|reg_ip|start_time,visible form input/UI enum plus page defaults,200,true,object[d|page|page_size|summary|t],authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,documented admin endpoint,会员列表 - seven/double,后台/会员列表/会员列表 - seven-double.bru,MISCLASSIFIED,true,member-list-a-internal-read-scan.json network[21:22]; semantic DOM locator,,
Member,Member List,/member-center/list,member_list:filter:Superior Agent Phone,EXECUTED_READ_ONLY,TRIGGERED_INTERFACE,NOT_APPLICABLE,POST,/admin/member/list,,,page|page_size|parent_phone,visible form input/UI enum plus page defaults,200,true,object[d|page|page_size|summary|t],authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,documented admin endpoint,会员列表 - seven/double,后台/会员列表/会员列表 - seven-double.bru,MISCLASSIFIED,true,member-list-a-internal-read-scan.json network[24:25]; semantic DOM locator,,
Member,Member List,/member-center/list,member_list:filter:Creation Time,EXECUTED_READ_ONLY,TRIGGERED_INTERFACE,NOT_APPLICABLE,POST,/admin/member/list,,,end_time|page|page_size|start_time,visible form input/UI enum plus page defaults,200,true,object[d|page|page_size|summary|t],authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,documented admin endpoint,会员列表 - seven/double,后台/会员列表/会员列表 - seven-double.bru,MISCLASSIFIED,true,member-list-a-internal-read-scan.json network[27:28]; semantic DOM locator,,
Member,Member List,/member-center/list,member_list:filter:First deposit time,EXECUTED_READ_ONLY,TRIGGERED_INTERFACE,NOT_APPLICABLE,POST,/admin/member/list,,,end_time|page|page_size|start_time,visible form input/UI enum plus page defaults,200,true,object[d|page|page_size|summary|t],authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,documented admin endpoint,会员列表 - seven/double,后台/会员列表/会员列表 - seven-double.bru,MISCLASSIFIED,true,member-list-a-internal-read-scan.json network[30:31]; semantic DOM locator,,
Member,Member List,/member-center/list,member_list:filter:Last deposit time,EXECUTED_READ_ONLY,TRIGGERED_INTERFACE,NOT_APPLICABLE,POST,/admin/member/list,,,end_time|page|page_size|start_time,visible form input/UI enum plus page defaults,200,true,object[d|page|page_size|summary|t],authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,documented admin endpoint,会员列表 - seven/double,后台/会员列表/会员列表 - seven-double.bru,MISCLASSIFIED,true,member-list-a-internal-read-scan.json network[32:33]; semantic DOM locator,,
Member,Member List,/member-center/list,member_list:filter:Last withdrawal time,EXECUTED_READ_ONLY,TRIGGERED_INTERFACE,NOT_APPLICABLE,POST,/admin/member/list,,,end_time|page|page_size|start_time,visible form input/UI enum plus page defaults,200,true,object[d|page|page_size|summary|t],authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,documented admin endpoint,会员列表 - seven/double,后台/会员列表/会员列表 - seven-double.bru,MISCLASSIFIED,true,member-list-a-internal-read-scan.json network[35:36]; semantic DOM locator,,
Member,Member List,/member-center/list,member_list:filter:Deposit Count,EXECUTED_READ_ONLY,TRIGGERED_INTERFACE,NOT_APPLICABLE,POST,/admin/member/list,,,end_time|page|page_size|start_time,visible form input/UI enum plus page defaults,200,true,object[d|page|page_size|summary|t],authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,documented admin endpoint,会员列表 - seven/double,后台/会员列表/会员列表 - seven-double.bru,MISCLASSIFIED,true,member-list-a-internal-read-scan.json network[37:38]; semantic DOM locator,,
Member,Member List,/member-center/list,member_list:filter:Member Status:Basic,EXECUTED_READ_ONLY,TRIGGERED_INTERFACE,NOT_APPLICABLE,POST,/admin/member/list,,,end_time|page|page_size|start_time|state,visible form input/UI enum plus page defaults,200,true,object[d|page|page_size|summary|t],authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,documented admin endpoint,会员列表 - seven/double,后台/会员列表/会员列表 - seven-double.bru,MISCLASSIFIED,true,member-list-a-internal-read-scan.json network[40:41]; semantic DOM locator,,
Member,Member List,/member-center/list,member_list:filter:Agent Qualification:Enabled,EXECUTED_READ_ONLY,TRIGGERED_INTERFACE,NOT_APPLICABLE,POST,/admin/member/list,,,agent_status|end_time|page|page_size|start_time,visible form input/UI enum plus page defaults,200,true,object[d|page|page_size|summary|t],authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,documented admin endpoint,会员列表 - seven/double,后台/会员列表/会员列表 - seven-double.bru,MISCLASSIFIED,true,member-list-a-internal-read-scan.json network[43:44]; semantic DOM locator,,
