caller_surface,top_menu,page_name,page_route,control_type,action_name,method,normalized_path,query_fields,path_fields,body_fields,header_fields,parameter_source,http_status,business_status,response_structure,auth_role,permission_ids,side_effect,before_state,after_state,original_category,original_name,original_source_file,classification,currently_used,evidence,blocked_scope
admin,Member Management,Member / Member Detail,/member-center/list,button,View Details,GET,/admin/priv/check,path,,,<auth-token-header> | <device-id-header> | accept | accept-language | client-id | client-version | d | lang | referer | sec-ch-ua | sec-ch-ua-mobile | sec-ch-ua-platform | user-agent,selected member row / detail route; filters and pagination use page defaults,200,True,object; keys=rights; count=None,authenticated FAT admin,,none (read-only detail/list request),existing record; values not persisted,unchanged,permission,权限检查,后台/系统管理/权限管理/权限检查.bru,ACTIVE,yes,record-flow-member-inventory.json / tab-overflow-retry.json / safe-read-actions.json; exact DOM action + FAT Network,
admin,Member Management,Member / Member Detail,/member-center/list,button,View Details,GET,/admin/kyc/detail,uid,,,<auth-token-header> | <device-id-header> | accept | accept-language | client-id | client-version | d | lang | referer | sec-ch-ua | sec-ch-ua-mobile | sec-ch-ua-platform | user-agent,selected member row / detail route; filters and pagination use page defaults,200,True,object; keys=attachments|birthday|blacklist_status|comment|country_code|created_at|current_address|external_information|extra_details|first_name|gender|id_number|id_type|issue|issue_fields|issue_msg|kyc_status|last_name|member|middle_name|nationality|nature_of_work|nearest_branch|occupation|ocr|ocr_result|ocr_status|permanent_address|phone|place_of_birth|review_times|reviewer|same_uids|same_uids_count|sid|signature_id|source_of_income|status|tokens|uid|updated_at|user_message|version; count=None,authenticated FAT admin,10005,none (read-only detail/list request),existing record; values not persisted,unchanged,kyc,获取 kyc 详情 - double,后台/kyc/获取 kyc 详情 - double.bru,ACTIVE,yes,record-flow-member-inventory.json / tab-overflow-retry.json / safe-read-actions.json; exact DOM action + FAT Network,
admin,Member Management,Member / Member Detail,/member-center/list,button,View Details,GET,/admin/finance/member/wallet,uid,,,<auth-token-header> | <device-id-header> | accept | accept-language | client-id | client-version | d | lang | referer | sec-ch-ua | sec-ch-ua-mobile | sec-ch-ua-platform | user-agent,selected member row / detail route; filters and pagination use page defaults,200,True,object; keys=balance|locked|uid|withdrawable; count=None,authenticated FAT admin,30403,none (read-only detail/list request),existing record; values not persisted,unchanged,finance,会员钱包 - wesley,后台/会员列表/会员钱包 - wesley.bru,ACTIVE,yes,record-flow-member-inventory.json / tab-overflow-retry.json / safe-read-actions.json; exact DOM action + FAT Network,
admin,Member Management,Member / Member Detail,/member-center/list,button,View Details,GET,/admin/member/detail,uid,,,<auth-token-header> | <device-id-header> | accept | accept-language | client-id | client-version | d | lang | referer | sec-ch-ua | sec-ch-ua-mobile | sec-ch-ua-platform | user-agent,selected member row / detail route; filters and pagination use page defaults,200,True,object; keys=activity_gift|agent_opened_at|agent_settle_type|associated_parties|available_balance|available_coin|avatar|balance|banned_state|bet_amount|bet_count|betting_turnover|block_state|buy_feature_finished|change_count|channel_name|created_at|created_note|currency_type|customer_channels|deposit_amount|deposit_count|deposit_multiple|deposit_multiple_type|difference|direct_referral_count|email|gender|ggr|has_login_password|indirect_referral_count|is_agent|last_changed_at|last_login_at|last_login_device|left_turnover|left_turnover_count|locked|nickname|note|parent_uid|phone|platform_deposit_multiple|referral_code|risk_level|risk_tag|sid|source|status|store_name|tags|tester|third_party_name|third_party_ty|tokens_balance|total_up|uid|unavailable_balance|updated_at|upline_count|username|version|vip_category|vip_level|vip_manual_level|vip_score|visit_count|wallet|win_amount|withdraw_method|withdrawable_balance|withdrawal_amount|withdrawal_count|xp; count=None,authenticated FAT admin,,none (read-only detail/list request),existing record; values not persisted,unchanged,member,会员详情 - seven/double,后台/会员列表/会员详情 - seven-double.bru,ACTIVE,yes,record-flow-member-inventory.json / tab-overflow-retry.json / safe-read-actions.json; exact DOM action + FAT Network,
admin,Member Management,Member / Member Detail,/member-center/detail/{uid},tab,KYC Records,GET,/admin/kyc/detail,uid,uid from selected record route,,<auth-token-header> | <device-id-header> | accept | accept-language | client-id | client-version | d | lang | referer | sec-ch-ua | sec-ch-ua-mobile | sec-ch-ua-platform | user-agent,selected member row / detail route; filters and pagination use page defaults,200,True,object; keys=attachments|birthday|blacklist_status|comment|country_code|created_at|current_address|external_information|extra_details|first_name|gender|id_number|id_type|issue|issue_fields|issue_msg|kyc_status|last_name|member|middle_name|nationality|nature_of_work|nearest_branch|occupation|ocr|ocr_result|ocr_status|permanent_address|phone|place_of_birth|review_times|reviewer|same_uids|same_uids_count|sid|signature_id|source_of_income|status|tokens|uid|updated_at|user_message|version; count=None,authenticated FAT admin,10005,none (read-only detail/list request),existing record; values not persisted,unchanged,kyc,获取 kyc 详情 - double,后台/kyc/获取 kyc 详情 - double.bru,ACTIVE,yes,record-flow-member-inventory.json / tab-overflow-retry.json / safe-read-actions.json; exact DOM action + FAT Network,
admin,Member Management,Member / Member Detail,/member-center/detail/{uid},tab,Function Limitation,GET,/admin/priv/check,path,uid from selected record route,,<auth-token-header> | <device-id-header> | accept | accept-language | client-id | client-version | d | lang | referer | sec-ch-ua | sec-ch-ua-mobile | sec-ch-ua-platform | user-agent,selected member row / detail route; filters and pagination use page defaults,200,True,object; keys=rights; count=None,authenticated FAT admin,,none (read-only detail/list request),existing record; values not persisted,unchanged,permission,权限检查,后台/系统管理/权限管理/权限检查.bru,ACTIVE,yes,record-flow-member-inventory.json / tab-overflow-retry.json / safe-read-actions.json; exact DOM action + FAT Network,
admin,Member Management,Member / Member Detail,/member-center/detail/{uid},tab,Function Limitation,GET,/admin/member/limitation/state/info,uid,uid from selected record route,,<auth-token-header> | <device-id-header> | accept | accept-language | client-id | client-version | d | lang | referer | sec-ch-ua | sec-ch-ua-mobile | sec-ch-ua-platform | user-agent,selected member row / detail route; filters and pagination use page defaults,200,True,object; keys=d|manual_member_state|member_state; count=None,authenticated FAT admin,,none (read-only detail/list request),existing record; values not persisted,unchanged,member,会员限制状态列表,后台/会员列表/会员限制状态列表.bru,ACTIVE,yes,record-flow-member-inventory.json / tab-overflow-retry.json / safe-read-actions.json; exact DOM action + FAT Network,
admin,Member Management,Member / Member Detail,/member-center/detail/{uid},tab,Wallet Transaction Change,GET,/admin/finance/transaction/types,,uid from selected record route,,<auth-token-header> | <device-id-header> | accept | accept-language | client-id | client-version | d | lang | referer | sec-ch-ua | sec-ch-ua-mobile | sec-ch-ua-platform | user-agent,selected member row / detail route; filters and pagination use page defaults,200,True,list; keys=; count=16,authenticated FAT admin,30401,none (read-only detail/list request),existing record; values not persisted,unchanged,finance,账变类型- wesley,后台/财务管理/会员钱包账变/账变类型- wesley.bru,ACTIVE,yes,record-flow-member-inventory.json / tab-overflow-retry.json / safe-read-actions.json; exact DOM action + FAT Network,
admin,Member Management,Member / Member Detail,/member-center/detail/{uid},tab,Wallet Transaction Change,POST,/admin/finance/transaction/list,,uid from selected record route,,<auth-token-header> | <device-id-header> | accept | accept-language | client-id | client-version | content-type | d | lang | referer | sec-ch-ua | sec-ch-ua-mobile | sec-ch-ua-platform | user-agent,selected member row / detail route; filters and pagination use page defaults,200,True,object; keys=d|s|t; count=None,authenticated FAT admin,30402,none (read-only detail/list request),existing record; values not persisted,unchanged,finance,账变列表- wesley,后台/财务管理/会员钱包账变/账变列表- wesley.bru,ACTIVE,yes,record-flow-member-inventory.json / tab-overflow-retry.json / safe-read-actions.json; exact DOM action + FAT Network,
admin,Member Management,Member / Member Detail,/member-center/detail/{uid},tab,Bet Details,POST,/admin/record/bet,,uid from selected record route,,<auth-token-header> | <device-id-header> | accept | accept-language | client-id | client-version | content-type | d | lang | referer | sec-ch-ua | sec-ch-ua-mobile | sec-ch-ua-platform | user-agent,selected member row / detail route; filters and pagination use page defaults,200,True,object; keys=a|d|fd|s|t; count=None,authenticated FAT admin,,none (read-only detail/list request),existing record; values not persisted,unchanged,finance,游戏记录-wesley,后台/财务管理/注单管理/游戏记录-wesley.bru,ACTIVE,yes,record-flow-member-inventory.json / tab-overflow-retry.json / safe-read-actions.json; exact DOM action + FAT Network,
admin,Member Management,Member / Member Detail,/member-center/detail/{uid},tab,Deposit Record,GET,/admin/finance/payment/deposit/channels,,uid from selected record route,,<auth-token-header> | <device-id-header> | accept | accept-language | client-id | client-version | d | lang | referer | sec-ch-ua | sec-ch-ua-mobile | sec-ch-ua-platform | user-agent,selected member row / detail route; filters and pagination use page defaults,200,True,list; keys=; count=33,authenticated FAT admin,30510,none (read-only detail/list request),existing record; values not persisted,unchanged,finance,支付渠道列表-cold,后台/财务管理/存款记录/支付渠道列表-cold.bru,ACTIVE,yes,record-flow-member-inventory.json / tab-overflow-retry.json / safe-read-actions.json; exact DOM action + FAT Network,
admin,Member Management,Member / Member Detail,/member-center/detail/{uid},tab,Deposit Record,POST,/admin/finance/deposit/list,,uid from selected record route,,<auth-token-header> | <device-id-header> | accept | accept-language | client-id | client-version | content-type | d | lang | referer | sec-ch-ua | sec-ch-ua-mobile | sec-ch-ua-platform | user-agent,selected member row / detail route; filters and pagination use page defaults,200,True,object; keys=d|s|summary|t; count=None,authenticated FAT admin,30101,none (read-only detail/list request),existing record; values not persisted,unchanged,finance,充值列表-wesley,后台/财务管理/存款记录/充值列表-wesley.bru,ACTIVE,yes,record-flow-member-inventory.json / tab-overflow-retry.json / safe-read-actions.json; exact DOM action + FAT Network,
admin,Member Management,Member / Member Detail,/member-center/detail/{uid},tab,Withdrawal Record,GET,/admin/finance/payment/withdraw/channels,,uid from selected record route,,<auth-token-header> | <device-id-header> | accept | accept-language | client-id | client-version | d | lang | referer | sec-ch-ua | sec-ch-ua-mobile | sec-ch-ua-platform | user-agent,selected member row / detail route; filters and pagination use page defaults,200,True,list; keys=; count=18,authenticated FAT admin,30509,none (read-only detail/list request),existing record; values not persisted,unchanged,finance,提现渠道列表-cold,合规/财务管理/财务记录/提现渠道列表-cold.bru,ACTIVE,yes,record-flow-member-inventory.json / tab-overflow-retry.json / safe-read-actions.json; exact DOM action + FAT Network,
admin,Member Management,Member / Member Detail,/member-center/detail/{uid},tab,Withdrawal Record,POST,/admin/finance/withdraw/list,,uid from selected record route,,<auth-token-header> | <device-id-header> | accept | accept-language | client-id | client-version | content-type | d | lang | referer | sec-ch-ua | sec-ch-ua-mobile | sec-ch-ua-platform | user-agent,selected member row / detail route; filters and pagination use page defaults,200,True,object; keys=d|s|summary|t; count=None,authenticated FAT admin,30201,none (read-only detail/list request),existing record; values not persisted,unchanged,finance,提现列表-wesley,后台/财务管理/提现记录/提现列表-wesley.bru,ACTIVE,yes,record-flow-member-inventory.json / tab-overflow-retry.json / safe-read-actions.json; exact DOM action + FAT Network,
admin,Member Management,Member / Member Detail,/member-center/detail/{uid},tab,Bonus Log,GET,/admin/bonus/list,created_end_at | created_start_at | page | page_size | uid,uid from selected record route,,<auth-token-header> | <device-id-header> | accept | accept-language | client-id | client-version | d | lang | referer | sec-ch-ua | sec-ch-ua-mobile | sec-ch-ua-platform | user-agent,selected member row / detail route; filters and pagination use page defaults,200,True,object; keys=activity_names|d|summary|t; count=0,authenticated FAT admin,100106,none (read-only detail/list request),existing record; values not persisted,unchanged,other,礼金列表 - felix,后台/VIP/礼金列表 - felix.bru,ACTIVE,yes,record-flow-member-inventory.json / tab-overflow-retry.json / safe-read-actions.json; exact DOM action + FAT Network,
admin,Member Management,Member / Member Detail,/member-center/detail/{uid},tab,Game Stats,POST,/admin/gameclass/list,,uid from selected record route,,<auth-token-header> | <device-id-header> | accept | accept-language | client-id | client-version | content-type | d | lang | referer | sec-ch-ua | sec-ch-ua-mobile | sec-ch-ua-platform | user-agent,selected member row / detail route; filters and pagination use page defaults,200,True,object; keys=list|page|page_size|s|t; count=7,authenticated FAT admin,50203,none (read-only detail/list request),existing record; values not persisted,unchanged,game,+查询场馆列表-owen,后台/game管理/场馆管理/+查询场馆列表-owen.bru,ACTIVE,yes,record-flow-member-inventory.json / tab-overflow-retry.json / safe-read-actions.json; exact DOM action + FAT Network,
admin,Member Management,Member / Member Detail,/member-center/detail/{uid},tab,Game Stats,GET,/admin/reports/member-daily-game/detail,end_date | field | page | page_size | start_date | uid,uid from selected record route,,<auth-token-header> | <device-id-header> | accept | accept-language | client-id | client-version | d | lang | referer | sec-ch-ua | sec-ch-ua-mobile | sec-ch-ua-platform | user-agent,selected member row / detail route; filters and pagination use page defaults,200,True,object; keys=a|d|s|t; count=None,authenticated FAT admin,80502,none (read-only detail/list request),existing record; values not persisted,unchanged,game,会员每日游戏报表--每日明细,后台/报表管理/会员每日游戏报表--每日明细.bru,ACTIVE,yes,record-flow-member-inventory.json / tab-overflow-retry.json / safe-read-actions.json; exact DOM action + FAT Network,
admin,Member Management,Member / Member Detail,/member-center/detail/{uid},tab,Turnover Detail,GET,/admin/finance/turnover/list,page | page_size | uid,uid from selected record route,,<auth-token-header> | <device-id-header> | accept | accept-language | client-id | client-version | d | lang | referer | sec-ch-ua | sec-ch-ua-mobile | sec-ch-ua-platform | user-agent,selected member row / detail route; filters and pagination use page defaults,200,True,object; keys=d|s|t; count=None,authenticated FAT admin,40301,none (read-only detail/list request),existing record; values not persisted,unchanged,finance,会员流水明细,后台/会员流水/会员流水明细.bru,ACTIVE,yes,record-flow-member-inventory.json / tab-overflow-retry.json / safe-read-actions.json; exact DOM action + FAT Network,
admin,Member Management,Member / Member Detail,/member-center/detail/{uid},tab,VIP Level Log,GET,/admin/priv/check,path,uid from selected record route,,<auth-token-header> | <device-id-header> | accept | accept-language | client-id | client-version | d | lang | referer | sec-ch-ua | sec-ch-ua-mobile | sec-ch-ua-platform | user-agent,selected member row / detail route; filters and pagination use page defaults,200,True,object; keys=rights; count=None,authenticated FAT admin,,none (read-only detail/list request),existing record; values not persisted,unchanged,permission,权限检查,后台/系统管理/权限管理/权限检查.bru,ACTIVE,yes,record-flow-member-inventory.json / tab-overflow-retry.json / safe-read-actions.json; exact DOM action + FAT Network,
admin,Member Management,Member / Member Detail,/member-center/detail/{uid},tab,VIP Level Log,GET,/admin/member/vip/level/list,end_time | page | page_size | start_time | uid,uid from selected record route,,<auth-token-header> | <device-id-header> | accept | accept-language | client-id | client-version | d | lang | referer | sec-ch-ua | sec-ch-ua-mobile | sec-ch-ua-platform | user-agent,selected member row / detail route; filters and pagination use page defaults,200,True,object; keys=d|t; count=None,authenticated FAT admin,,none (read-only detail/list request),existing record; values not persisted,unchanged,member,会员vip等级记录,后台/Vipv2/会员vip等级记录.bru,ACTIVE,yes,record-flow-member-inventory.json / tab-overflow-retry.json / safe-read-actions.json; exact DOM action + FAT Network,
admin,Member Management,Member / Member Detail,/member-center/detail/{uid},tab,XP Growth Log,GET,/admin/vip/xp/list,end_at | page | page_size | start_at | uid,uid from selected record route,,<auth-token-header> | <device-id-header> | accept | accept-language | client-id | client-version | d | lang | referer | sec-ch-ua | sec-ch-ua-mobile | sec-ch-ua-platform | user-agent,selected member row / detail route; filters and pagination use page defaults,200,True,object; keys=d|summary|t; count=0,authenticated FAT admin,100104,none (read-only detail/list request),existing record; values not persisted,unchanged,other,xp成长日志 - felix,后台/VIP/xp成长日志 - felix.bru,ACTIVE,yes,record-flow-member-inventory.json / tab-overflow-retry.json / safe-read-actions.json; exact DOM action + FAT Network,
admin,Member Management,Member / Member Detail,/member-center/detail/{uid},tab,Risk Control Log,GET,/admin/member/detail,uid,uid from selected record route,,<auth-token-header> | <device-id-header> | accept | accept-language | client-id | client-version | d | lang | referer | sec-ch-ua | sec-ch-ua-mobile | sec-ch-ua-platform | user-agent,selected member row / detail route; filters and pagination use page defaults,200,True,object; keys=activity_gift|agent_opened_at|agent_settle_type|associated_parties|available_balance|available_coin|avatar|balance|banned_state|bet_amount|bet_count|betting_turnover|block_state|buy_feature_finished|change_count|channel_name|created_at|created_note|currency_type|customer_channels|deposit_amount|deposit_count|deposit_multiple|deposit_multiple_type|difference|direct_referral_count|email|gender|ggr|has_login_password|indirect_referral_count|is_agent|last_changed_at|last_login_at|last_login_device|left_turnover|left_turnover_count|locked|nickname|note|parent_uid|phone|platform_deposit_multiple|referral_code|risk_level|risk_tag|sid|source|status|store_name|tags|tester|third_party_name|third_party_ty|tokens_balance|total_up|uid|unavailable_balance|updated_at|upline_count|username|version|vip_category|vip_level|vip_manual_level|vip_score|visit_count|wallet|win_amount|withdraw_method|withdrawable_balance|withdrawal_amount|withdrawal_count|xp; count=None,authenticated FAT admin,,none (read-only detail/list request),existing record; values not persisted,unchanged,member,会员详情 - seven/double,后台/会员列表/会员详情 - seven-double.bru,ACTIVE,yes,record-flow-member-inventory.json / tab-overflow-retry.json / safe-read-actions.json; exact DOM action + FAT Network,
admin,Member Management,Member / Member Detail,/member-center/detail/{uid},tab,Risk Control Log,GET,/admin/member/risk/log,created_end_time | created_start_time | page | page_size | uid,uid from selected record route,,<auth-token-header> | <device-id-header> | accept | accept-language | client-id | client-version | d | lang | referer | sec-ch-ua | sec-ch-ua-mobile | sec-ch-ua-platform | user-agent,selected member row / detail route; filters and pagination use page defaults,200,True,object; keys=d|t; count=None,authenticated FAT admin,40401,none (read-only detail/list request),existing record; values not persisted,unchanged,member,风控日志,后台/会员列表/风控日志.bru,ACTIVE,yes,record-flow-member-inventory.json / tab-overflow-retry.json / safe-read-actions.json; exact DOM action + FAT Network,
admin,Member Management,Member / Member Detail,/member-center/detail/{uid},tab,Login Logs (New),GET,/admin/member/log/listv1,end_time | page | page_size | start_time | uid,uid from selected record route,,<auth-token-header> | <device-id-header> | accept | accept-language | client-id | client-version | d | lang | referer | sec-ch-ua | sec-ch-ua-mobile | sec-ch-ua-platform | user-agent,selected member row / detail route; filters and pagination use page defaults,200,True,object; keys=d|s|t; count=7,authenticated FAT admin,,none (read-only detail/list request),existing record; values not persisted,unchanged,member,会员登录日志v1,后台/后台日志/会员登录日志v1.bru,ACTIVE,yes,record-flow-member-inventory.json / tab-overflow-retry.json / safe-read-actions.json; exact DOM action + FAT Network,
admin,Member Management,Member / Member Detail,/member-center/detail/{uid},tab,Login Logs,GET,/admin/member/log/list,end_time | page | page_size | start_time | uid,uid from selected record route,,<auth-token-header> | <device-id-header> | accept | accept-language | client-id | client-version | d | lang | referer | sec-ch-ua | sec-ch-ua-mobile | sec-ch-ua-platform | user-agent,selected member row / detail route; filters and pagination use page defaults,200,True,object; keys=d|s|t; count=7,authenticated FAT admin,10007,none (read-only detail/list request),existing record; values not persisted,unchanged,member,会员登录日志-seven,后台/后台日志/会员登录日志-seven.bru,ACTIVE,yes,record-flow-member-inventory.json / tab-overflow-retry.json / safe-read-actions.json; exact DOM action + FAT Network,
admin,Member Management,Member / Member Detail,/member-center/detail/{uid},tab,Token Wallet Transaction,POST,/admin/promo/task/list,,uid from selected record route,,<auth-token-header> | <device-id-header> | accept | accept-language | client-id | client-version | content-type | d | lang | referer | sec-ch-ua | sec-ch-ua-mobile | sec-ch-ua-platform | user-agent,selected member row / detail route; filters and pagination use page defaults,200,True,object; keys=d|s|t; count=58,authenticated FAT admin,100201,none (read-only detail/list request),existing record; values not persisted,unchanged,,,,UNDOCUMENTED_ACTIVE,yes,record-flow-member-inventory.json / tab-overflow-retry.json / safe-read-actions.json; exact DOM action + FAT Network,
admin,Member Management,Member / Member Detail,/member-center/detail/{uid},tab,Token Wallet Transaction,POST,/admin/finance/tokens/transaction/list,,uid from selected record route,,<auth-token-header> | <device-id-header> | accept | accept-language | client-id | client-version | content-type | d | lang | referer | sec-ch-ua | sec-ch-ua-mobile | sec-ch-ua-platform | user-agent,selected member row / detail route; filters and pagination use page defaults,200,True,object; keys=a|d|page|page_size|t; count=None,authenticated FAT admin,100313,none (read-only detail/list request),existing record; values not persisted,unchanged,,,,UNDOCUMENTED_ACTIVE,yes,record-flow-member-inventory.json / tab-overflow-retry.json / safe-read-actions.json; exact DOM action + FAT Network,
admin,Member Management,Member / Member Detail,/member-center/detail/{uid},tab,Daily Statistics,GET,/admin/reports/member/detail,end_time | field | page | page_size | start_time | uid,uid from selected record route,,<auth-token-header> | <device-id-header> | accept | accept-language | client-id | client-version | d | lang | referer | sec-ch-ua | sec-ch-ua-mobile | sec-ch-ua-platform | user-agent,selected member row / detail route; filters and pagination use page defaults,200,True,object; keys=a|d|s|t; count=None,authenticated FAT admin,,none (read-only detail/list request),existing record; values not persisted,unchanged,report,个人统计--查看,后台/报表管理/个人统计--查看.bru,ACTIVE,yes,record-flow-member-inventory.json / tab-overflow-retry.json / safe-read-actions.json; exact DOM action + FAT Network,
