surface,route,control_type,context,action_name,dom_state,risk,status,prerequisite,recovery_path,evidence
member_list_row,/member-center/list,button,first data row,XP Growth Log,ENABLED,READ_ONLY,READ_ONLY_EVIDENCE_AVAILABLE,non-empty member row,not assessed before current-run target,record-flow-member-inventory.json
member_list_row,/member-center/list,button,first data row,Transfer,ENABLED,WRITE_OR_STATE_CHANGE,BLOCKED_WAITING_CURRENT_RUN_UID,selected member UID,not assessed before current-run target,record-flow-member-inventory.json
member_list_row,/member-center/list,button,first data row,View Details,ENABLED,READ_ONLY,READ_ONLY_EVIDENCE_AVAILABLE,non-empty member row,not assessed before current-run target,record-flow-member-inventory.json
member_list_row,/member-center/list,button,first data row,Unblock,DISABLED,WRITE_OR_STATE_CHANGE,BLOCKED_WAITING_CURRENT_RUN_UID,selected member UID,not assessed before current-run target,record-flow-member-inventory.json
member_list_row,/member-center/list,button,first data row,Risk Control,ENABLED,WRITE_OR_STATE_CHANGE,BLOCKED_WAITING_CURRENT_RUN_UID,selected member UID,not assessed before current-run target,record-flow-member-inventory.json
member_list_row,/member-center/list,button,first data row,Reset Password,ENABLED,WRITE_OR_STATE_CHANGE,BLOCKED_WAITING_CURRENT_RUN_UID,selected member UID,not assessed before current-run target,record-flow-member-inventory.json
member_list_row,/member-center/list,button,first data row,Convert to Agent,ENABLED,WRITE_OR_STATE_CHANGE,BLOCKED_WAITING_CURRENT_RUN_UID,selected member UID,not assessed before current-run target,record-flow-member-inventory.json
member_detail,/member-center/detail/{uid},tab,detail inner tabs,Details,ENABLED,READ_ONLY,EXECUTED_READ_ONLY,selected member UID,none needed,direct registered tab + FAT Network/DOM
member_detail,/member-center/detail/{uid},tab,detail inner tabs,KYC Records,ENABLED,READ_ONLY,EXECUTED_READ_ONLY,selected member UID,none needed,direct registered tab + FAT Network/DOM
member_detail,/member-center/detail/{uid},tab,detail inner tabs,Function Limitation,ENABLED,READ_ONLY,EXECUTED_READ_ONLY,selected member UID,none needed,direct registered tab + FAT Network/DOM
member_detail,/member-center/detail/{uid},tab,detail inner tabs,Wallet Transaction Change,ENABLED,READ_ONLY,EXECUTED_READ_ONLY,selected member UID,none needed,direct registered tab + FAT Network/DOM
member_detail,/member-center/detail/{uid},tab,detail inner tabs,Bet Details,ENABLED,READ_ONLY,EXECUTED_READ_ONLY,selected member UID,none needed,direct registered tab + FAT Network/DOM
member_detail,/member-center/detail/{uid},tab,detail inner tabs,Deposit Record,ENABLED,READ_ONLY,EXECUTED_READ_ONLY,selected member UID,none needed,direct registered tab + FAT Network/DOM
member_detail,/member-center/detail/{uid},tab,detail inner tabs,Withdrawal Record,ENABLED,READ_ONLY,EXECUTED_READ_ONLY,selected member UID,none needed,direct registered tab + FAT Network/DOM
member_detail,/member-center/detail/{uid},tab,detail inner tabs,Bonus Log,ENABLED,READ_ONLY,EXECUTED_READ_ONLY,selected member UID,none needed,direct registered tab + FAT Network/DOM
member_detail,/member-center/detail/{uid},tab,detail inner tabs,Game Stats,ENABLED,READ_ONLY,EXECUTED_READ_ONLY,selected member UID,none needed,direct registered tab + FAT Network/DOM
member_detail,/member-center/detail/{uid},tab,detail inner tabs,Turnover Detail,ENABLED,READ_ONLY,EXECUTED_READ_ONLY,selected member UID,none needed,registered overflow tab item + FAT Network/DOM
member_detail,/member-center/detail/{uid},tab,detail inner tabs,VIP Level Log,ENABLED,READ_ONLY,EXECUTED_READ_ONLY,selected member UID,none needed,registered overflow tab item + FAT Network/DOM
member_detail,/member-center/detail/{uid},tab,detail inner tabs,XP Growth Log,ENABLED,READ_ONLY,EXECUTED_READ_ONLY,selected member UID,none needed,registered overflow tab item + FAT Network/DOM
member_detail,/member-center/detail/{uid},tab,detail inner tabs,Risk Control Log,ENABLED,READ_ONLY,EXECUTED_READ_ONLY,selected member UID,none needed,registered overflow tab item + FAT Network/DOM
member_detail,/member-center/detail/{uid},tab,detail inner tabs,Login Logs (New),ENABLED,READ_ONLY,EXECUTED_READ_ONLY,selected member UID,none needed,registered overflow tab item + FAT Network/DOM
member_detail,/member-center/detail/{uid},tab,detail inner tabs,Login Logs,ENABLED,READ_ONLY,EXECUTED_READ_ONLY,selected member UID,none needed,registered overflow tab item + FAT Network/DOM
member_detail,/member-center/detail/{uid},tab,detail inner tabs,Token Wallet Transaction,ENABLED,READ_ONLY,EXECUTED_READ_ONLY,selected member UID,none needed,registered overflow tab item + FAT Network/DOM
member_detail,/member-center/detail/{uid},tab,detail inner tabs,Daily Statistics,ENABLED,READ_ONLY,EXECUTED_READ_ONLY,selected member UID,none needed,registered overflow tab item + FAT Network/DOM
member_detail,/member-center/detail/{uid},button,Phone Number,View History,ENABLED,READ_ONLY,EXECUTED_READ_ONLY,selected member UID,none needed,record-flow-member-safe-read-actions.json exact description label + button
member_detail,/member-center/detail/{uid},button,Real Name,View History,ENABLED,READ_ONLY,EXECUTED_READ_ONLY,selected member UID,none needed,record-flow-member-safe-read-actions.json exact description label + button
member_detail,/member-center/detail/{uid},button,Restricted Status,Ban Records,ENABLED,READ_ONLY,EXECUTED_READ_ONLY,selected member UID,none needed,record-flow-member-safe-read-actions.json exact description label + button
member_detail,/member-center/detail/{uid},button,Balance,Turnover Details,ENABLED,READ_ONLY,EXECUTED_READ_ONLY,selected member UID,none needed,record-flow-member-safe-read-actions.json exact description label + button
member_detail,/member-center/detail/{uid},button,The remaining purchases are free to rotate,records,ENABLED,READ_ONLY,EXECUTED_READ_ONLY,selected member UID,none needed,record-flow-member-safe-read-actions.json exact description label + button
member_detail,/member-center/detail/{uid},button,General recharge rate,operating record,ENABLED,READ_ONLY,EXECUTED_READ_ONLY,selected member UID,none needed,record-flow-member-safe-read-actions.json exact description label + button
member_detail,/member-center/detail/{uid},button,Referrer ID,View History,ENABLED,READ_ONLY,EXECUTED_READ_ONLY,selected member UID,none needed,record-flow-member-safe-read-actions.json exact description label + button
member_detail,/member-center/detail/{uid},button,Registration Information,Login Logs,ENABLED,READ_ONLY,EXECUTED_READ_ONLY,selected member UID,none needed,record-flow-member-safe-read-actions.json exact description label + button
member_detail,/member-center/detail/{uid},button,Member Level,XP Turnover,ENABLED,READ_ONLY,EXECUTED_READ_ONLY,selected member UID,none needed,record-flow-member-safe-read-actions.json exact description label + button
member_detail,/member-center/detail/{uid},button,Available Mall Tokens,View Token Wallet,ENABLED,READ_ONLY,EXECUTED_READ_ONLY,selected member UID,none needed,record-flow-member-safe-read-actions.json exact description label + button
member_detail,/member-center/detail/{uid},button,Total Top-ups,View Credit/Debit Records,ENABLED,READ_ONLY,EXECUTED_READ_ONLY,selected member UID,none needed,record-flow-member-safe-read-actions.json exact description label + button
member_detail,/member-center/detail/{uid},record_write_restore,Function Limitation / Deposit,Lock → Unlock,ENABLED,LOW_RISK_REVERSIBLE,EXECUTED_RESTORED,current-run approved UID; baseline Allowed; real approval TOTP,same row Unlock action; verified restored to Allowed,record-flow-member-limitation-flow.json
