surface,top_menu,page_name,page_route,control_type,action_name,action_status,method,normalized_path,query_fields,path_fields,body_fields,parameter_source,http_status,business_status,response_structure,auth_role,side_effect,before_state,after_state,original_category,original_name,original_source_file,classification,currently_used_by_ui,trigger_status,save_confirmation,evidence,blocked_scope
admin,Member Management,Wallet Transaction Change,/member-center/detail/{uid},query_with_bounded_filters,Query / 查 询,CLICKED_READ_ONLY,POST,/admin/finance/transaction/list,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,200,true,"{""type"":""object"",""keys"":[""d"",""s"",""t""],""count"":null}",authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Wallet Transaction Change,existing inventory/catalog comparison + live UI DOM,ACTIVE,true,,,record-flow-member-tab-readonly-deep-scan.json network[108],
admin,Member Management,Wallet Transaction Change,/member-center/detail/{uid},page_2,page_2,CURRENT_FILTER_HAS_NO_PAGE_2,,,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,,,no request captured,authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Wallet Transaction Change,existing inventory/catalog comparison + live UI DOM,DOCUMENTED_REACHABLE,,,,record-flow-member-tab-readonly-deep-scan.json network[none],
admin,Member Management,Wallet Transaction Change,/member-center/detail/{uid},page_size,page_size,CONTROL_NOT_PRESENT,,,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,,,no request captured,authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Wallet Transaction Change,existing inventory/catalog comparison + live UI DOM,DOCUMENTED_REACHABLE,,,,record-flow-member-tab-readonly-deep-scan.json network[none],
admin,Member Management,Wallet Transaction Change,/member-center/detail/{uid},export,export,CONTROL_NOT_PRESENT,,,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,,,no request captured,authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Wallet Transaction Change,existing inventory/catalog comparison + live UI DOM,DOCUMENTED_REACHABLE,,,,record-flow-member-tab-readonly-deep-scan.json network[none],
admin,Member Management,Wallet Transaction Change,/member-center/detail/{uid},reset,Reset / Reset Data,CLICKED_READ_ONLY,GET,/admin/finance/transaction/types,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,200,true,"{""type"":""list"",""keys"":[],""count"":16}",authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Wallet Transaction Change,existing inventory/catalog comparison + live UI DOM,ACTIVE,true,,,record-flow-member-tab-readonly-deep-scan.json network[109],
admin,Member Management,Wallet Transaction Change,/member-center/detail/{uid},reset,Reset / Reset Data,CLICKED_READ_ONLY,POST,/admin/finance/transaction/list,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,200,true,"{""type"":""object"",""keys"":[""d"",""s"",""t""],""count"":null}",authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Wallet Transaction Change,existing inventory/catalog comparison + live UI DOM,ACTIVE,true,,,record-flow-member-tab-readonly-deep-scan.json network[110],
admin,Member Management,Bet Details,/member-center/detail/{uid},query_with_bounded_filters,Query / 查 询,CLICKED_READ_ONLY,POST,/admin/record/bet,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,200,true,"{""type"":""object"",""keys"":[""a"",""d"",""fd"",""s"",""t""],""count"":null}",authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Bet Details,existing inventory/catalog comparison + live UI DOM,ACTIVE,true,,,record-flow-member-tab-readonly-deep-scan.json network[132],
admin,Member Management,Bet Details,/member-center/detail/{uid},page_2,page_2,CURRENT_FILTER_HAS_NO_PAGE_2,,,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,,,no request captured,authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Bet Details,existing inventory/catalog comparison + live UI DOM,DOCUMENTED_REACHABLE,,,,record-flow-member-tab-readonly-deep-scan.json network[none],
admin,Member Management,Bet Details,/member-center/detail/{uid},page_size,page_size,CONTROL_NOT_PRESENT,,,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,,,no request captured,authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Bet Details,existing inventory/catalog comparison + live UI DOM,DOCUMENTED_REACHABLE,,,,record-flow-member-tab-readonly-deep-scan.json network[none],
admin,Member Management,Bet Details,/member-center/detail/{uid},export,export,CONTROL_NOT_PRESENT,,,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,,,no request captured,authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Bet Details,existing inventory/catalog comparison + live UI DOM,DOCUMENTED_REACHABLE,,,,record-flow-member-tab-readonly-deep-scan.json network[none],
