method,origin,normalized_path,classification,pages,actions,http_status,business_status,auth_role,actual_side_effect,document_category,document_name,request_count
GET,https://client-fat.filbet2025.com,/finance/account/list,ACTIVE,Account|Withdraw,page initialization|primary navigation/action,200,true,authenticated client session (t header),none observed,client/finance,提款账户列表-wesley,2
GET,https://client-fat.filbet2025.com,/finance/channel/list,ACTIVE,Account|Deposit|Withdraw,page initialization|primary navigation/action,200,true,authenticated client session (t header),none observed,client/finance,获取支付通道列表-wesley,4
GET,https://client-fat.filbet2025.com,/finance/deposit/list,ACTIVE,Transaction,primary navigation/action,200,true,authenticated client session (t header),none observed,client/finance,充值记录-wesley,1
GET,https://client-fat.filbet2025.com,/finance/member/buyfeatures,ACTIVE,Withdraw,page initialization,200,true,authenticated client session (t header),none observed,client/finance,购买免费旋转游戏列表,2
GET,https://client-fat.filbet2025.com,/finance/payment/tab/list,ACTIVE,Account|Withdraw,page initialization|primary navigation/action,200,true,authenticated client session (t header),none observed,client/finance,提现tab,2
GET,https://client-fat.filbet2025.com,/finance/wallet,ACTIVE,Account|Bet History|Bonus|Deposit|Earn Filcoins|Filcoins Mall|Game|Home|Login|My|My Free Spins|Rewards|Sidebar|Transaction|VIP Center|Withdraw,daily task Go 1|daily task Go 2|daily task Go 3|daily task Go 4|daily task Go 5|daily task Go 6|daily task Go 7|daily task Go 8|daily task Go 9|page initialization|password login|refresh balance|start first free-spin game,200,true,authenticated client session (t header),none observed,client/finance,会员钱包-wesley,44
GET,https://client-fat.filbet2025.com,/finance/withdraw/list,ACTIVE,Transaction,select Withdraw tab,200,true,authenticated client session (t header),none observed,client/finance,提现记录-wesley,1
GET,https://client-fat.filbet2025.com,/member/bigprize/list,ACTIVE,Earn Filcoins|Home|Home (guest)|Login|Register|Sidebar|Sidebar (guest),daily task Go 6|daily task Go 7|daily task Go 8|page initialization|password login|refresh balance,200,true,authenticated client session (t header),none observed,client/member,爆奖列表,11
GET,https://client-fat.filbet2025.com,/member/buriedPoint/detailV2,ACTIVE,Account|Bet History|Bonus|Deposit|Earn Filcoins|Filcoins Mall|Game|Home|Home (guest)|Login|My|My Free Spins|Register|Rewards|Sidebar|Sidebar (guest)|Transaction|VIP Center|Withdraw,daily task Go 1|daily task Go 2|daily task Go 3|daily task Go 4|daily task Go 5|daily task Go 6|daily task Go 7|daily task Go 8|daily task Go 9|page initialization|password login|refresh balance|start first free-spin game,200,true,authenticated client session (t header),none observed,client/member,埋点详情V2-todo,31
GET,https://client-fat.filbet2025.com,/member/detail,ACTIVE,Account|Bet History|Bonus|Deposit|Earn Filcoins|Filcoins Mall|Game|Home|Login|My|My Free Spins|Rewards|Sidebar|Transaction|VIP Center|Withdraw,daily task Go 1|daily task Go 2|daily task Go 3|daily task Go 4|daily task Go 5|daily task Go 6|daily task Go 7|daily task Go 8|daily task Go 9|page initialization|password login|primary navigation/action|refresh balance|start first free-spin game,200,true,authenticated client session (t header),none observed,client/member,获取会员信息-seven-aliang(20260424),49
GET,https://client-fat.filbet2025.com,/member/fav/list,ACTIVE,Account|Bet History|Bonus|Deposit|Earn Filcoins|Filcoins Mall|Game|Home|Login|My|My Free Spins|Rewards|Sidebar|Transaction|VIP Center|Withdraw,daily task Go 1|daily task Go 2|daily task Go 3|daily task Go 4|daily task Go 5|daily task Go 6|daily task Go 7|daily task Go 8|daily task Go 9|page initialization|password login|refresh balance|start first free-spin game,200,true,authenticated client session (t header),none observed,client/game,游戏收藏列表-light,27
