surface,menu,page,page_route,control_type,action,method,origin,normalized_path,query_fields,body_fields,parameter_sources,http_status,business_status,response_shape,auth_role,actual_side_effect,before_after_change,document_category,document_name,document_source,classification,currently_used,evidence,exception_blocked_scope,request_count
client,Authentication,Login,/,page,page initialization,GET,https://client-fat.filbet2025.com,/member/bigprize/list,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/member,爆奖列表,前台/爆奖信息/爆奖列表.bru,ACTIVE,yes,fat-client-network.json action=login__page_initialization; records=55,,1
client,Authentication,Login,/,page,page initialization,GET,https://client-fat.filbet2025.com,/member/buriedPoint/detailV2,ad_id,,header:t<-authenticated-session;query:ad_id<-page/filter/pagination/default,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/member,埋点详情V2-todo,前台/埋点/埋点详情V2-todo.bru,ACTIVE,yes,fat-client-network.json action=login__page_initialization; records=50,,1
client,Authentication,Login,/,page,page initialization,GET,https://client-fat.filbet2025.com,/member/fb/list,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/member,三方登录列表,前台/三方登录/三方登录列表.bru,ACTIVE,yes,fat-client-network.json action=login__page_initialization; records=49,,1
client,Authentication,Login,/,page,page initialization,GET,https://client-fat.filbet2025.com,/member/home/sections,brand,,header:t<-authenticated-session;query:brand<-page/filter/pagination/default,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/member,首页板块列表,前台/首页/首页板块列表.bru,ACTIVE,yes,fat-client-network.json action=login__page_initialization; records=53,,1
client,Authentication,Login,/,page,page initialization,GET,https://client-fat.filbet2025.com,/member/index,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/game,首页缓存,前台/游戏/首页缓存.bru,ACTIVE,yes,fat-client-network.json action=login__page_initialization; records=60,,1
client,Authentication,Login,/,page,page initialization,GET,https://client-fat.filbet2025.com,/member/materials/list,material_type_code|platform_code,,header:t<-authenticated-session;query:material_type_code|platform_code<-page/filter/pagination/default,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/member,素材列表,前台/素材/素材列表.bru,ACTIVE,yes,fat-client-network.json action=login__page_initialization; records=61|62|63,,3
client,Authentication,Login,/,page,page initialization,GET,https://client-fat.filbet2025.com,/member/v2/index,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/game,首页缓存v2-owen,前台/游戏/首页缓存v2-owen.bru,ACTIVE,yes,fat-client-network.json action=login__page_initialization; records=54|59,,2
client,Authentication,Login,/,page,page initialization,GET,https://client-fat.filbet2025.com,/promo/rotate/bet/detail,is_welfare|pid,,header:t<-authenticated-session;query:is_welfare|pid<-page/filter/pagination/default,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/kyc|client/promo|unknown/promo,弹目消息|活动详情|福利详情|详情(老页面),活动/Vip/详情(老页面).bru|活动/kyc送免费旋转/详情(老页面).bru|活动/每日充值+投注阶梯送礼金和旋转次数/弹目消息.bru|活动/每日充值+投注阶梯送礼金和旋转次数/活动详情.bru|活动/每日充值+投注阶梯送礼金和旋转次数/福利详情.bru,ACTIVE,yes,fat-client-network.json action=login__page_initialization; records=57|58,,2
client,Authentication,Login,/,page,page initialization,POST,https://client-fat.filbet2025.com,/member/channel/trackclick,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),request emitted; no durable business change observed by this discovery action,no state identifier returned or persisted in sanitized evidence,client/member,渠道跟踪点击-todo,前台/渠道/渠道跟踪点击-todo.bru,ACTIVE,yes,fat-client-network.json action=login__page_initialization; records=51,,1
client,Authentication,Login,/,page,page initialization,POST,https://client-fat.filbet2025.com,/member/game/rank,,game_type|page|page_size|strategy|time_range,body:game_type|page|page_size|strategy|time_range<-form/current-record/default;header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),request emitted; no durable business change observed by this discovery action,no state identifier returned or persisted in sanitized evidence,client/game,游戏排名-benjie,前台/游戏/游戏排名-benjie.bru,ACTIVE,yes,fat-client-network.json action=login__page_initialization; records=52|56,,2
