"page_route","label","control_type","result","option_count","selected","request_count"
"/#/reportCenter/pagcor","Pagcor税收报表","tab","CLICKED","","","0"
"/#/reportCenter/pagcor","搜 寻","button","CLICKED","","","3"
"/#/reportCenter/pagcor","导 出","button","CLICKED_NO_INTERFACE_EVIDENCE","","","0"
"/#/reportCenter/pagcor","filter-1","select","FIRST_LEGAL_OPTION_SELECTED","10","true","0"
"/#/reportCenter/pagcor","filter-2","select","FIRST_LEGAL_OPTION_SELECTED","10","true","0"
"/#/reportCenter/pagcor","filter-3","select","FIRST_LEGAL_OPTION_SELECTED","4","true","0"
"/#/reportCenter/pagcor","filter-4","select","FIRST_LEGAL_OPTION_SELECTED","2","true","0"
"/#/reportCenter/pagcor","filter-5","select","FIRST_LEGAL_OPTION_SELECTED","5","true","0"
"/#/reportCenter/pagcor","今 日","date_preset","CLICKED","","","3"
"/#/reportCenter/pagcor","昨 日","date_preset","CLICKED","","","3"
"/#/reportCenter/pagcor","本 周","date_preset","CLICKED","","","3"
"/#/reportCenter/pagcor","本 月","date_preset","CLICKED","","","3"
"/#/reportCenter/pagcor","上 月","date_preset","CLICKED","","","3"
"/#/reportCenter/pagcor","重 置","date_preset","CLICKED","","","3"
"/#/reportCenter/pagcor","Search after filter/date coverage","query","CLICKED","","","3"
